,PPO,MinVariance,DJIA
2020-07-01,1000000.0,1000000.0,1000000.0
2020-07-02,1003783.8336480142,1004237.6613507394,1003590.0049368924
2020-07-06,1019318.6672969585,1013513.183617418,1021451.6892254695
2020-07-07,1005580.4368410648,1012906.4080220954,1006031.0534706049
2020-07-08,1011419.818673755,1012221.2893500037,1012912.7247737511
2020-07-09,999102.649271777,1004829.9367171393,998877.7582182562
2020-07-10,1013682.0125591875,1012121.4908810031,1013224.4206551077
2020-07-13,1012257.103057957,1012098.6675299376,1013632.4257824935
2020-07-14,1031743.3103127638,1028570.6816695966,1035267.9298179572
2020-07-15,1040181.7518803782,1031727.1603574697,1044108.4203803721
2020-07-16,1036777.9359822851,1033211.4162823794,1038847.5373027568
2020-07-17,1037034.9136042912,1038325.0878960881,1036408.7655833712
2020-07-20,1036675.2468176492,1036111.090363165,1036755.3726177408
2020-07-21,1044120.8447555326,1038556.3559369512,1042954.3790918622
2020-07-22,1049082.5435218404,1046043.1885210164,1049382.9643439492
2020-07-23,1039448.5721052784,1041134.6376111346,1035646.4122529039
2020-07-24,1027944.6260715363,1039904.9986191875,1028557.2472707636
2020-07-27,1031896.7586019984,1048284.7770776168,1033021.1694401428
2020-07-28,1025074.3837549901,1043350.6509892662,1025036.3057017882
2020-07-29,1029548.1526505661,1041447.456421824,1031264.8348683489
2020-07-30,1019712.039626336,1037271.5397794636,1022486.1218680048
2020-07-31,1019691.620940502,1035708.4913192586,1026941.9233996178
2020-08-03,1027661.7709462275,1041503.9513560962,1036115.4360042515
2020-08-04,1031814.4602203126,1046828.7914574861,1042490.8196948993
2020-08-05,1044971.5543966398,1050332.2431507953,1056986.6134701648
2020-08-06,1049913.0223185832,1052916.0004323067,1064193.1861777639
2020-08-07,1053796.3838233717,1057704.3578410184,1066000.0660276155
2020-08-10,1066333.798455503,1060997.347018109,1079909.5042198857
2020-08-11,1063603.4133649701,1055859.6090010344,1075847.7433544532
2020-08-12,1073119.5914370804,1069020.5723469858,1087113.7242193467
2020-08-13,1066941.3151033942,1071443.3440091838,1084000.4842025135
2020-08-14,1068117.4551098289,1072479.6897649318,1085333.2554156873
2020-08-17,1064673.7680553216,1079064.002148863,1081987.2490808312
2020-08-18,1063382.911856941,1083841.5741973727,1079390.0110842912
2020-08-19,1059377.1672349093,1079489.1618981669,1076079.7507343676
2020-08-20,1059836.6806599123,1079284.3371773784,1077900.21557637
2020-08-21,1062975.1726296418,1082115.6009018875,1085306.4649004408
2020-08-24,1077070.858419523,1088236.9576993403,1099999.734371662
2020-08-25,1080253.4488851936,1095341.2094577812,1097667.4416689656
2020-08-26,1092034.8765324722,1111412.2810007865,1100911.2949343538
2020-08-27,1101347.3428461794,1117754.0717918952,1107142.1009152413
2020-08-28,1107617.7566671325,1128144.331296924,1113421.4789351036
2020-08-31,1100679.5461865906,1123415.087992115,1104724.4276752851
2020-09-01,1107791.86876689,1129568.6903685965,1113102.4972479006
2020-09-02,1127117.0154555247,1153166.2806261946,1130776.4961421278
2020-09-03,1098546.039831681,1130050.9414744661,1099388.485618692
2020-09-04,1095777.6187902524,1125498.1144773257,1093193.8050917918
2020-09-08,1071658.544892653,1107587.230628153,1068619.4650169376
2020-09-09,1086888.4292543263,1122748.408055566,1085700.5055666214
2020-09-10,1071647.1048447373,1110359.1833734286,1069928.5573611115
2020-09-11,1078752.677985515,1121247.487818578,1075021.2597537776
2020-09-14,1090078.4416938783,1129691.2094312804,1087754.4956647558
2020-09-15,1088536.1393157647,1132416.8733648267,1087842.684273019
2020-09-16,1091200.840666975,1133778.293100402,1089271.9165198437
2020-09-17,1086194.4732459218,1131768.3682722298,1084204.866235261
2020-09-18,1076460.0979805216,1126969.9920593458,1074701.8227037096
2020-09-21,1056884.151339271,1106445.9497363125,1054895.2836170685
2020-09-22,1062268.460998867,1114458.9357662923,1060354.0218596943
2020-09-23,1042720.4296577792,1105267.1549418361,1039951.8681451287
2020-09-24,1044465.7432189182,1107707.8589653983,1041984.45618859
2020-09-25,1057039.6105138455,1112483.8609277962,1055915.7517983988
2020-09-28,1073748.0716721204,1118931.0176650123,1071851.2511663928
2020-09-29,1067608.344409772,1115863.6951161902,1066745.3432506307
2020-09-30,1079031.241184689,1126944.411767811,1079531.0217849389
2020-10-01,1078900.0149303856,1126752.1816368927,1080898.8559387475
2020-10-02,1074269.1017241825,1119565.4066032136,1075688.442245379
2020-10-05,1091378.3435286898,1134042.9143325808,1093789.4956135275
2020-10-06,1078126.3043647693,1124955.5639357315,1079183.6558124602
2020-10-07,1097727.9611363956,1138559.6542827603,1099805.446215764
2020-10-08,1106744.0240785659,1136092.6067260779,1104547.9745649484
2020-10-09,1110870.8317715009,1141124.2741173015,1110819.2319470441
2020-10-12,1121511.6595793224,1145892.772016792,1120557.6980800005
2020-10-13,1113672.6747774354,1141825.5253638467,1114429.5005314464
2020-10-14,1108726.8660408326,1136418.9720034674,1107986.495455289
2020-10-15,1108541.6314218282,1133936.7418139863,1107217.0840004084
2020-10-16,1112191.748183334,1137047.770896282,1111573.4646397452
2020-10-19,1096672.6614142451,1120963.4069296494,1095607.2282783375
2020-10-20,1100336.7182330398,1125754.8484698571,1100012.4845318927
2020-10-21,1096922.680535459,1123086.9666708126,1096205.6509772656
2020-10-22,1106102.4731115124,1127638.4077326208,1102144.6452552518
2020-10-23,1101292.4364496656,1129094.9292415837,1101053.1404669215
2020-10-26,1076790.2537269297,1114773.0060659226,1075788.3185005204
2020-10-27,1066573.7211817782,1109364.7784317029,1067154.48678518
2020-10-28,1032003.902119234,1076330.0527286897,1030502.405644071
2020-10-29,1038281.1144230837,1077087.4009499224,1035909.8396705297
2020-10-30,1034017.4557846873,1072518.4021115648,1029789.3832906872
2020-11-02,1049743.2005387018,1085645.3018366897,1046243.692749978
2020-11-03,1069231.9219442573,1097323.5335534126,1067808.8432227394
2020-11-04,1076837.534268779,1104689.192591036,1082094.107566575
2020-11-05,1097267.0323943861,1115813.9965624837,1103175.1314196202
2020-11-06,1095531.0651457007,1120198.6764221345,1100580.2461312183
2020-11-09,1136024.3821669286,1127543.8501326165,1133009.6715277918
2020-11-10,1147634.7682980022,1144204.2563896945,1143227.2552889448
2020-11-11,1146957.0375191472,1148890.3691517015,1142322.2974878012
2020-11-12,1134270.9121133103,1139258.0018978957,1129986.517464494
2020-11-13,1153089.93107396,1151209.2817884216,1145515.6054751312
2020-11-16,1172860.10240887,1156771.0177268186,1163803.129936655
2020-11-17,1167661.0639992845,1153615.3419438647,1157310.4144143597
2020-11-18,1154124.1274362123,1140838.4570459104,1143907.263834588
2020-11-19,1157596.299571865,1144242.8090259454,1145648.495538013
2020-11-20,1150826.190107186,1140457.085371916,1137109.5310862947
2020-11-23,1164343.199329361,1142149.1272779964,1149846.6375816285
2020-11-24,1183997.648955975,1146983.393500725,1167525.721361186
2020-11-25,1177715.9773701981,1145364.0492910147,1160773.4490056203
2020-11-27,1178270.0659777522,1145795.166958329,1162246.0925122786
2020-11-30,1169637.4155177542,1142620.0152475184,1151687.3660711406
2020-12-01,1179054.275411236,1147566.0029625618,1158886.880654326
2020-12-02,1184422.798812391,1144667.859885537,1161213.2536397723
2020-12-03,1188161.9426688426,1146691.2977498334,1164544.5365753146
2020-12-04,1199065.474902237,1152091.3985837367,1174209.992862187
2020-12-07,1191957.7397153992,1146544.5614194765,1168440.773039179
2020-12-08,1196932.5200111389,1154216.723220181,1172485.5336909704
2020-12-09,1193880.3684948876,1155548.273818,1168402.7502399192
2020-12-10,1192073.61031807,1147512.848818013,1165700.1716338533
2020-12-11,1194946.3213795165,1148812.420829893,1167530.730352705
2020-12-14,1186070.292223545,1142469.7234931411,1160349.1267088915
2020-12-15,1200339.5103216,1151998.0435096063,1173473.6711088577
2020-12-16,1198015.352413943,1146386.906859192,1171733.9572816507
2020-12-17,1202375.64307521,1155521.8877297763,1177517.1415658637
2020-12-18,1196338.1438841743,1155129.2630805252,1172686.4246084164
2020-12-21,1195852.0458648566,1150117.1867273794,1174139.639299485
2020-12-22,1188952.473406297,1142594.7374338098,1166331.608140522
2020-12-23,1193985.9978598782,1141917.8762769704,1170773.8246799845
2020-12-24,1196547.0676670037,1144517.083592167,1173495.3767387746
2020-12-28,1204264.8645447516,1151824.7495423835,1181426.279977581
2020-12-29,1202623.019287386,1152192.3885618618,1178772.2734104895
2020-12-30,1203996.0840041095,1150857.8180588798,1181643.4880643701
2020-12-31,1212186.7731791078,1160168.0709363334,1189295.3297605058
2021-01-04,1196348.4140744715,1147869.1055929412,1174428.794719005
2021-01-05,1204226.0077184585,1149667.1098137451,1180945.568579355
2021-01-06,1220001.7048116303,1156622.915759814,1197957.469867311
2021-01-07,1227867.4900787543,1156507.8668700187,1206184.8143314838
2021-01-08,1229595.7406383364,1159548.5984853401,1208393.4760162276
2021-01-11,1226104.7724975646,1156562.1745933413,1204924.2181324733
2021-01-12,1229749.3371548012,1150575.4342872952,1207255.6760032498
2021-01-13,1231249.3433862804,1147793.1899641105,1206936.3148469925
2021-01-14,1232073.350617807,1144451.3559783692,1204257.0356408719
2021-01-15,1224155.4655474178,1144010.7340689374,1197369.1410452323
2021-01-19,1229913.2961936602,1145232.0789282196,1201886.720138916
2021-01-20,1239497.029571003,1153184.451926893,1211906.6005226807
2021-01-21,1240718.5148564335,1150159.0020428584,1211425.889124455
2021-01-22,1229904.481076802,1149211.3928931644,1204469.234736142
2021-01-25,1228776.169647711,1156995.536181532,1203032.2613206054
2021-01-26,1226857.8959602574,1162130.9956251613,1202140.0536796926
2021-01-27,1203001.6618277647,1140198.6992362677,1177509.4003971522
2021-01-28,1215618.5686220233,1145095.897519104,1189174.0514506912
2021-01-29,1191614.3078170721,1123613.8229157077,1165053.5563650052
2021-02-01,1200788.672830952,1123917.466222488,1173963.2620829588
2021-02-02,1218036.147714188,1130473.7332494995,1192442.7978860538
2021-02-03,1219102.2461074824,1127538.9417612553,1193846.3021309844
2021-02-04,1233177.3983829475,1133074.331316127,1206757.1295594631
2021-02-05,1238687.2016439955,1142748.792365743,1210346.8309211119
2021-02-08,1249293.8376945597,1142334.4503720459,1219576.2772643773
2021-02-09,1248081.142575434,1143659.3692891065,1219190.4331297735
2021-02-10,1248346.5556707762,1142298.0575453457,1221598.4678557457
2021-02-11,1249490.4552412939,1141214.3085364252,1221322.5179593216
2021-02-12,1251358.5857980167,1142599.8879150788,1222398.9198792833
2021-02-16,1254209.5718591807,1138430.4417122505,1224899.3932669288
2021-02-17,1259352.2920075653,1149963.356482929,1228407.0534189972
2021-02-18,1254763.3266012673,1146694.867026295,1223756.5842624316
2021-02-19,1254260.0509563242,1133185.1342056026,1223794.6829555025
2021-02-22,1254517.0133932594,1129912.921360746,1224858.1829276113
2021-02-23,1255549.593199718,1127451.8280441398,1225466.699503389
2021-02-24,1270191.194828224,1128820.8087570872,1241962.1434081863
2021-02-25,1250253.4899606428,1121767.104772165,1220207.713771046
2021-02-26,1230573.4546145499,1099007.2798383909,1201958.591577836
2021-03-01,1254502.3239657779,1108351.7798412286,1225395.2075335232
2021-03-02,1248018.6713646236,1106340.3259940287,1219800.0881127145
2021-03-03,1243583.9398959156,1098500.5717354296,1215081.6181015847
2021-03-04,1230147.6932941815,1089101.2534901295,1201638.8509525242
2021-03-05,1254930.6822776312,1109345.2691474243,1223871.6392797527
2021-03-08,1265848.8207812933,1118623.2126725584,1235767.4628812857
2021-03-09,1268125.4939474366,1115885.3337318006,1236944.8794635523
2021-03-10,1285330.5822510032,1130847.1183760278,1254985.6731458479
2021-03-11,1290253.811415856,1128208.7172814074,1262313.0688003958
2021-03-12,1299933.994952588,1131542.3613959218,1273700.3279751039
2021-03-15,1309327.388911183,1148340.394689242,1280493.4312009322
2021-03-16,1305263.1052642518,1150735.949776058,1275538.627862667
2021-03-17,1312111.315434293,1155151.1925519197,1282899.1132187666
2021-03-18,1303782.6334845403,1151398.5756388167,1276951.1634710946
2021-03-19,1297143.0190124128,1147637.7362968079,1267845.6517210251
2021-03-22,1303629.7944631632,1155855.5676171887,1271856.8673083994
2021-03-23,1292853.9219365276,1154481.8111494114,1259886.8195598084
2021-03-24,1292013.683830054,1155589.1372314752,1259766.7555509682
2021-03-25,1300338.6882958813,1157877.707400405,1267515.741325053
2021-03-26,1321155.9037521384,1175474.9398203318,1285133.7305868375
2021-03-29,1325144.7565863794,1184982.5015393412,1288960.903682785
2021-03-30,1319048.4714330079,1174176.3826165844,1284903.7723398176
2021-03-31,1315058.0171386728,1171569.2172704479,1281584.9359892625
2021-04-01,1321057.244395158,1172884.4873137602,1288255.2430290587
2021-04-05,1336654.5801570674,1188532.0929467971,1302787.2381521224
2021-04-06,1333345.0748844275,1188437.8564700736,1299019.869379162
2021-04-07,1335076.7509711753,1188753.0769222793,1299642.5022037665
2021-04-08,1335963.1327442368,1184802.8710278964,1301869.3784031258
2021-04-09,1346441.947255891,1189931.8364573424,1313411.3091644433
2021-04-12,1342199.2608917807,1189857.3651957898,1311266.2464932317
2021-04-13,1339149.3386699776,1185829.106312849,1308618.9185814993
2021-04-14,1339969.8040533029,1184942.3098961255,1310702.5072658837
2021-04-15,1349267.57090326,1194645.7688544865,1322557.8794662084
2021-04-16,1356668.5234942841,1202333.9303253768,1328957.093813478
2021-04-19,1351959.7496630482,1200495.907379251,1324175.935514547
2021-04-20,1343170.1063321244,1205617.396834188,1314215.6317723368
2021-04-21,1354851.033492538,1209418.8488295595,1326494.946800336
2021-04-22,1342155.051930568,1198819.4229303098,1314005.7094913938
2021-04-23,1347218.100036181,1201427.8325834821,1322849.3117000554
2021-04-26,1344043.6779094194,1190833.6506372069,1320443.3261069776
2021-04-27,1343093.073065439,1187494.1319824615,1320573.8634617217
2021-04-28,1337464.3071191504,1176565.0228369008,1314179.809893593
2021-04-29,1345998.1146948491,1182729.2216049894,1323504.8824385896
2021-04-30,1339122.562083046,1184769.172150652,1316296.488279529
2021-05-03,1348706.5267996138,1196736.726735822,1325559.3278995894
2021-05-04,1347774.267108433,1196574.0993214129,1326328.73935447
2021-05-05,1352412.1389044297,1200115.8981733816,1330109.9208010137
2021-05-06,1365351.2314206907,1208930.5945906166,1342474.0851095964
2021-05-07,1374555.59787493,1212762.8597387811,1351381.438119412
2021-05-10,1373846.8259653605,1219678.9452133311,1350023.697842453
2021-05-11,1355803.5648951975,1207690.653028186,1331618.3861864158
2021-05-12,1331714.7850738836,1190993.1809952043,1305136.9105375141
2021-05-13,1348422.8178493595,1204280.1260577436,1321992.9259378861
2021-05-14,1362375.954680752,1210398.353029539,1336008.0842087367
2021-05-17,1360598.995177795,1210656.675687273,1333896.566601942
2021-05-18,1349917.131287037,1206636.1403359487,1323516.5700854678
2021-05-19,1344275.380760185,1203551.580208482,1317119.784340147
2021-05-20,1352893.1746234552,1210612.2540856174,1324429.2690553232
2021-05-21,1355790.3131419579,1208344.0622612042,1329235.6240994725
2021-05-24,1364225.7911293171,1210821.3880410194,1336468.6078532638
2021-05-25,1360007.8695579001,1206149.499462454,1333300.951974017
2021-05-26,1361005.4345793147,1205172.6872773515,1333712.4482167042
2021-05-27,1365287.2778842878,1201558.513396182,1339214.2941439198
2021-05-28,1367897.7883097033,1204812.5784565478,1341732.6025771261
2021-06-01,1368537.2519820137,1195175.2402026423,1343514.5892570033
2021-06-02,1371148.3125548412,1198439.3685780712,1344488.7622136858
2021-06-03,1370257.221144819,1202593.726733733,1343581.8311734586
2021-06-04,1378800.6092689657,1208423.9102796933,1350551.0080405697
2021-06-07,1373827.710459083,1202351.2418123998,1345649.0267946895
2021-06-08,1372336.7529109463,1197570.684886851,1344467.0565837692
2021-06-09,1367909.820886818,1198947.9238533797,1338534.2855982766
2021-06-10,1370769.4005798835,1210120.6267470063,1339276.375281234
2021-06-11,1371636.5558417093,1210551.527671876,1339795.640735396
2021-06-14,1369347.2195264213,1208541.9967356282,1336459.6523835778
2021-06-15,1366321.186692638,1204402.555961372,1332790.641989541
2021-06-16,1356682.33468317,1195912.2839126154,1322467.8694064838
2021-06-17,1348690.3924968084,1195658.0495227438,1314299.1149643243
2021-06-18,1326767.0270546125,1177933.1490008896,1293573.5777215236
2021-06-21,1348700.4134838367,1191293.5710993852,1316378.7571705421
2021-06-22,1350790.2413037145,1193394.7569397758,1319044.7549597556
2021-06-23,1347006.7192909631,1187098.4025898757,1316272.657622907
2021-06-24,1359049.2906901215,1193124.7938445448,1328807.431218388
2021-06-25,1371081.170585177,1211486.410045384,1338017.4487460635
2021-06-28,1366160.2677683125,1210727.482993438,1332166.6430763404
2021-06-29,1364979.2857924656,1209560.1370096551,1332517.120695066
2021-06-30,1373248.247042417,1217752.882154604,1340685.8751372255
2021-07-01,1379892.6979091424,1221828.9902862879,1345776.9837598628
2021-07-02,1385634.218725395,1230326.9604840402,1351715.21909974
2021-07-06,1376921.4489935602,1224010.6199040243,1343594.7331213113
2021-07-07,1381633.828723135,1230353.5909959497,1347652.1680395224
2021-07-08,1373357.0451332761,1224035.340695669,1337554.6482872097
2021-07-09,1390237.498932775,1232985.3190136272,1354971.8225253588
2021-07-12,1394447.5031979305,1233999.8204754684,1359868.6429920984
