,PPO,MinVariance,DJIA
2020-07-01,1000000.0,1000000.0,1000000.0
2020-07-02,1003621.3874964484,1004237.6613507394,1003590.0049368924
2020-07-06,1019315.1041486084,1013513.183617418,1021451.6892254695
2020-07-07,1005374.0256829379,1012906.4080220954,1006031.0534706049
2020-07-08,1011624.9739716128,1012221.2893500037,1012912.7247737511
2020-07-09,999160.2904453436,1004829.9367171393,998877.7582182562
2020-07-10,1013343.1757005925,1012121.4908810031,1013224.4206551077
2020-07-13,1012556.6544441511,1012098.6675299376,1013632.4257824935
2020-07-14,1032307.7989637599,1028570.6816695966,1035267.9298179572
2020-07-15,1040099.982550568,1031727.1603574697,1044108.4203803721
2020-07-16,1036753.5408642192,1033211.4162823794,1038847.5373027568
2020-07-17,1036872.5901438445,1038325.0878960881,1036408.7655833712
2020-07-20,1036930.3483275692,1036111.090363165,1036755.3726177408
2020-07-21,1044130.5424220895,1038556.3559369512,1042954.3790918622
2020-07-22,1049228.682859385,1046043.1885210164,1049382.9643439492
2020-07-23,1039422.9328361688,1041134.6376111346,1035646.4122529039
2020-07-24,1028194.536303751,1039904.9986191875,1028557.2472707636
2020-07-27,1031959.3295551474,1048284.7770776168,1033021.1694401428
2020-07-28,1025495.1243284964,1043350.6509892662,1025036.3057017882
2020-07-29,1030634.2246706939,1041447.456421824,1031264.8348683489
2020-07-30,1021482.0602657541,1037271.5397794636,1022486.1218680048
2020-07-31,1022656.9177690379,1035708.4913192586,1026941.9233996178
2020-08-03,1030546.9324621608,1041503.9513560962,1036115.4360042515
2020-08-04,1034873.7660754197,1046828.7914574861,1042490.8196948993
2020-08-05,1048686.607871436,1050332.2431507953,1056986.6134701648
2020-08-06,1054030.8452583866,1052916.0004323067,1064193.1861777639
2020-08-07,1057692.6665628063,1057704.3578410184,1066000.0660276155
2020-08-10,1070218.2382588387,1060997.347018109,1079909.5042198857
2020-08-11,1066624.770239403,1055859.6090010344,1075847.7433544532
2020-08-12,1076982.4873416696,1069020.5723469858,1087113.7242193467
2020-08-13,1071167.2699942333,1071443.3440091838,1084000.4842025135
2020-08-14,1072370.6455857567,1072479.6897649318,1085333.2554156873
2020-08-17,1068988.3907848122,1079064.002148863,1081987.2490808312
2020-08-18,1067829.6251424241,1083841.5741973727,1079390.0110842912
2020-08-19,1063933.9438386506,1079489.1618981669,1076079.7507343676
2020-08-20,1064368.0477949653,1079284.3371773784,1077900.21557637
2020-08-21,1067830.889690256,1082115.6009018875,1085306.4649004408
2020-08-24,1081419.1504721937,1088236.9576993403,1099999.734371662
2020-08-25,1084379.2077107823,1095341.2094577812,1097667.4416689656
2020-08-26,1095402.4184006944,1111412.2810007865,1100911.2949343538
2020-08-27,1104077.723331379,1117754.0717918952,1107142.1009152413
2020-08-28,1110310.8772334438,1128144.331296924,1113421.4789351036
2020-08-31,1103774.9984456818,1123415.087992115,1104724.4276752851
2020-09-01,1111039.9690832556,1129568.6903685965,1113102.4972479006
2020-09-02,1130204.8384420369,1153166.2806261946,1130776.4961421278
2020-09-03,1101432.5856501563,1130050.9414744661,1099388.485618692
2020-09-04,1098339.8659304243,1125498.1144773257,1093193.8050917918
2020-09-08,1074147.2857304683,1107587.230628153,1068619.4650169376
2020-09-09,1089466.2409903153,1122748.408055566,1085700.5055666214
2020-09-10,1073843.7279154952,1110359.1833734286,1069928.5573611115
2020-09-11,1080847.1813280177,1121247.487818578,1075021.2597537776
2020-09-14,1092208.407051134,1129691.2094312804,1087754.4956647558
2020-09-15,1090602.9771366282,1132416.8733648267,1087842.684273019
2020-09-16,1093017.5943021814,1133778.293100402,1089271.9165198437
2020-09-17,1088050.1377656134,1131768.3682722298,1084204.866235261
2020-09-18,1078878.9763057693,1126969.9920593458,1074701.8227037096
2020-09-21,1059219.8113018628,1106445.9497363125,1054895.2836170685
2020-09-22,1064131.5916243517,1114458.9357662923,1060354.0218596943
2020-09-23,1045707.0875136856,1105267.1549418361,1039951.8681451287
2020-09-24,1047256.5609859552,1107707.8589653983,1041984.45618859
2020-09-25,1059973.4921256655,1112483.8609277962,1055915.7517983988
2020-09-28,1076254.5099615199,1118931.0176650123,1071851.2511663928
2020-09-29,1070397.6341967597,1115863.6951161902,1066745.3432506307
2020-09-30,1082084.7146634469,1126944.411767811,1079531.0217849389
2020-10-01,1081847.1811705471,1126752.1816368927,1080898.8559387475
2020-10-02,1077358.5290037645,1119565.4066032136,1075688.442245379
2020-10-05,1094516.291732265,1134042.9143325808,1093789.4956135275
2020-10-06,1081349.8343726662,1124955.5639357315,1079183.6558124602
2020-10-07,1101198.3518156467,1138559.6542827603,1099805.446215764
2020-10-08,1110552.9227170837,1136092.6067260779,1104547.9745649484
2020-10-09,1114715.456675221,1141124.2741173015,1110819.2319470441
2020-10-12,1125694.5398180543,1145892.772016792,1120557.6980800005
2020-10-13,1117605.5577097058,1141825.5253638467,1114429.5005314464
2020-10-14,1112162.779794085,1136418.9720034674,1107986.495455289
2020-10-15,1112127.668712692,1133936.7418139863,1107217.0840004084
2020-10-16,1116077.4934183832,1137047.770896282,1111573.4646397452
2020-10-19,1100518.775927678,1120963.4069296494,1095607.2282783375
2020-10-20,1103605.902974452,1125754.8484698571,1100012.4845318927
2020-10-21,1100269.1086675262,1123086.9666708126,1096205.6509772656
2020-10-22,1109164.7016548656,1127638.4077326208,1102144.6452552518
2020-10-23,1105278.397797911,1129094.9292415837,1101053.1404669215
2020-10-26,1080845.4125249367,1114773.0060659226,1075788.3185005204
2020-10-27,1070868.1000948932,1109364.7784317029,1067154.48678518
2020-10-28,1035887.8271242887,1076330.0527286897,1030502.405644071
2020-10-29,1042165.4916245715,1077087.4009499224,1035909.8396705297
2020-10-30,1038211.3430813446,1072518.4021115648,1029789.3832906872
2020-11-02,1053998.5563178104,1085645.3018366897,1046243.692749978
2020-11-03,1073412.9550136945,1097323.5335534126,1067808.8432227394
2020-11-04,1083543.1463736035,1104689.192591036,1082094.107566575
2020-11-05,1103912.8779532218,1115813.9965624837,1103175.1314196202
2020-11-06,1101566.7901960434,1120198.6764221345,1100580.2461312183
2020-11-09,1140160.9587817597,1127543.8501326165,1133009.6715277918
2020-11-10,1151543.7694947615,1144204.2563896945,1143227.2552889448
2020-11-11,1151192.6547423822,1148890.3691517015,1142322.2974878012
2020-11-12,1139142.8361247333,1139258.0018978957,1129986.517464494
2020-11-13,1157367.5560790487,1151209.2817884216,1145515.6054751312
2020-11-16,1176834.973715838,1156771.0177268186,1163803.129936655
2020-11-17,1171404.294953357,1153615.3419438647,1157310.4144143597
2020-11-18,1157356.9323499308,1140838.4570459104,1143907.263834588
2020-11-19,1160183.8603546666,1144242.8090259454,1145648.495538013
2020-11-20,1153410.089809231,1140457.085371916,1137109.5310862947
2020-11-23,1166027.7635287505,1142149.1272779964,1149846.6375816285
2020-11-24,1185254.0332256304,1146983.393500725,1167525.721361186
2020-11-25,1179015.135194384,1145364.0492910147,1160773.4490056203
2020-11-27,1179834.2150938006,1145795.166958329,1162246.0925122786
2020-11-30,1171658.7830159392,1142620.0152475184,1151687.3660711406
2020-12-01,1181473.8127440573,1147566.0029625618,1158886.880654326
2020-12-02,1187042.9570307003,1144667.859885537,1161213.2536397723
2020-12-03,1190492.2113385648,1146691.2977498334,1164544.5365753146
2020-12-04,1201243.2228266355,1152091.3985837367,1174209.992862187
2020-12-07,1194423.91188047,1146544.5614194765,1168440.773039179
2020-12-08,1199314.9428796251,1154216.723220181,1172485.5336909704
2020-12-09,1195447.4625298013,1155548.273818,1168402.7502399192
2020-12-10,1193426.9261486551,1147512.848818013,1165700.1716338533
2020-12-11,1195735.3570555088,1148812.420829893,1167530.730352705
2020-12-14,1186968.7685441677,1142469.7234931411,1160349.1267088915
2020-12-15,1201560.8147504292,1151998.0435096063,1173473.6711088577
2020-12-16,1199360.8612297263,1146386.906859192,1171733.9572816507
2020-12-17,1203920.4545414664,1155521.8877297763,1177517.1415658637
2020-12-18,1197729.6509944452,1155129.2630805252,1172686.4246084164
2020-12-21,1196857.2223278068,1150117.1867273794,1174139.639299485
2020-12-22,1190431.8229062608,1142594.7374338098,1166331.608140522
2020-12-23,1195624.7754905748,1141917.8762769704,1170773.8246799845
2020-12-24,1198391.5033775992,1144517.083592167,1173495.3767387746
2020-12-28,1206727.2771967377,1151824.7495423835,1181426.279977581
2020-12-29,1204941.0099493554,1152192.3885618618,1178772.2734104895
2020-12-30,1206082.514084426,1150857.8180588798,1181643.4880643701
2020-12-31,1214439.8428446972,1160168.0709363334,1189295.3297605058
2021-01-04,1198737.7141547261,1147869.1055929412,1174428.794719005
2021-01-05,1206013.620271018,1149667.1098137451,1180945.568579355
2021-01-06,1222200.1178340705,1156622.915759814,1197957.469867311
2021-01-07,1230460.6862160743,1156507.8668700187,1206184.8143314838
2021-01-08,1232307.3648575528,1159548.5984853401,1208393.4760162276
2021-01-11,1228442.6125377903,1156562.1745933413,1204924.2181324733
2021-01-12,1231440.0578923598,1150575.4342872952,1207255.6760032498
2021-01-13,1232767.9566393425,1147793.1899641105,1206936.3148469925
2021-01-14,1232627.3482387296,1144451.3559783692,1204257.0356408719
2021-01-15,1224952.8322940103,1144010.7340689374,1197369.1410452323
2021-01-19,1230307.2318770182,1145232.0789282196,1201886.720138916
2021-01-20,1239850.4143173592,1153184.451926893,1211906.6005226807
2021-01-21,1241324.6396109415,1150159.0020428584,1211425.889124455
2021-01-22,1230024.3656188957,1149211.3928931644,1204469.234736142
2021-01-25,1229079.6033549253,1156995.536181532,1203032.2613206054
2021-01-26,1226744.4751046957,1162130.9956251613,1202140.0536796926
2021-01-27,1202650.6328289858,1140198.6992362677,1177509.4003971522
2021-01-28,1215337.488893125,1145095.897519104,1189174.0514506912
2021-01-29,1191807.957174915,1123613.8229157077,1165053.5563650052
2021-02-01,1200606.2890156861,1123917.466222488,1173963.2620829588
2021-02-02,1217538.7242396625,1130473.7332494995,1192442.7978860538
2021-02-03,1218408.4756217601,1127538.9417612553,1193846.3021309844
2021-02-04,1231881.688556985,1133074.331316127,1206757.1295594631
2021-02-05,1237055.7777904125,1142748.792365743,1210346.8309211119
2021-02-08,1247421.6265130162,1142334.4503720459,1219576.2772643773
2021-02-09,1246737.5815843074,1143659.3692891065,1219190.4331297735
