date,equity
2020-07-01,1000000.0
2020-07-02,989863.8031739647
2020-07-06,1005859.4657906945
2020-07-07,989455.3406381066
2020-07-08,996887.3567857201
2020-07-09,983816.2238969262
2020-07-10,997152.7728127892
2020-07-13,995525.0600823815
2020-07-14,1013672.6904896072
2020-07-15,1022192.5042631436
2020-07-16,1018410.1044059227
2020-07-17,1018319.7837652367
2020-07-20,1018118.6226171653
2020-07-21,1025136.9646240919
2020-07-22,1029835.0790346656
2020-07-23,1019861.818858513
2020-07-24,1009592.3819677565
2020-07-27,1013242.5651113723
2020-07-28,1006075.7198475304
2020-07-29,1011280.8322402468
2020-07-30,1002342.4720832339
2020-07-31,1004885.0151438896
2020-08-03,1012997.7758681949
2020-08-04,1016326.6078537551
2020-08-05,1031174.5832097058
2020-08-06,1036499.1086834491
2020-08-07,1040091.8090542377
2020-08-10,1052582.9160030903
2020-08-11,1049615.7634076562
2020-08-12,1059071.028286306
2020-08-13,1053943.434546948
2020-08-14,1055039.8632626708
2020-08-17,1051245.8014251885
2020-08-18,1050551.104089564
2020-08-19,1047255.4185732066
2020-08-20,1048011.687860316
2020-08-21,1052141.9636449886
2020-08-24,1065736.5726194454
2020-08-25,1068316.0595434408
2020-08-26,1080957.3880880575
2020-08-27,1089205.9327945958
2020-08-28,1095357.8514576207
2020-08-31,1089044.7912635081
2020-09-01,1097245.0304984725
2020-09-02,1115536.911797448
2020-09-03,1086289.2213950176
2020-09-04,1083281.5930842198
2020-09-08,1059619.576105002
2020-09-09,1074948.105771903
2020-09-10,1060054.7766245638
2020-09-11,1067073.9840830602
2020-09-14,1078614.2654398717
2020-09-15,1076959.72501171
2020-09-16,1078743.2212733068
2020-09-17,1072957.5147455968
2020-09-18,1063096.7690867223
2020-09-21,1044357.7164984348
2020-09-22,1050197.5808302753
2020-09-23,1034106.9412390583
2020-09-24,1035380.8460852497
2020-09-25,1047581.029028971
2020-09-28,1063228.7988378948
2020-09-29,1057724.1996362347
2020-09-30,1068507.1119897503
2020-10-01,1068537.4708783943
2020-10-02,1063394.1077230293
2020-10-05,1080136.619733599
2020-10-06,1067062.8657636065
2020-10-07,1086610.0120458025
2020-10-08,1095312.384478463
2020-10-09,1099969.0448674096
2020-10-12,1110649.5257931447
2020-10-13,1103270.5206640083
2020-10-14,1097502.0967274604
2020-10-15,1097572.5057998847
2020-10-16,1100566.2679916571
2020-10-19,1085212.0619626741
2020-10-20,1088892.6328435638
2020-10-21,1086020.5065722377
2020-10-22,1094411.4383273034
2020-10-23,1090310.651919833
2020-10-26,1066678.964970622
2020-10-27,1057484.6975641584
2020-10-28,1022385.3270578717
2020-10-29,1028939.6667013501
2020-10-30,1023239.8612871503
2020-11-02,1038362.9295358991
2020-11-03,1057827.2093019818
2020-11-04,1067847.1410665845
2020-11-05,1087945.848608082
2020-11-06,1085532.277044457
2020-11-09,1123588.0544873888
2020-11-10,1133911.1945359367
2020-11-11,1133462.8606927055
2020-11-12,1121325.5251601879
2020-11-13,1139091.1163083098
2020-11-16,1158247.102264335
2020-11-17,1153728.0885051833
2020-11-18,1140531.404821025
2020-11-19,1143493.4299140302
2020-11-20,1137040.2148032514
2020-11-23,1149922.8001265852
2020-11-24,1169412.279981169
2020-11-25,1163233.1191993086
2020-11-27,1163372.6441359846
2020-11-30,1155497.4414000837
2020-12-01,1165096.1884551374
2020-12-02,1171186.1596732466
2020-12-03,1175271.983068022
2020-12-04,1185493.1682639448
2020-12-07,1179465.960374388
2020-12-08,1184119.6721320478
2020-12-09,1180690.8799491255
2020-12-10,1178868.9072623579
2020-12-11,1182485.7288680403
2020-12-14,1173039.0569167463
2020-12-15,1188659.6759162275
2020-12-16,1186066.574750456
2020-12-17,1190580.8708243696
2020-12-18,1183442.0322051374
2020-12-21,1185190.7808814375
2020-12-22,1178903.2547850935
2020-12-23,1183723.919102086
2020-12-24,1186310.2939403055
2020-12-28,1194973.6338546027
2020-12-29,1192814.095289658
2020-12-30,1194090.7868408666
2020-12-31,1201747.2346405492
2021-01-04,1185812.0731453404
2021-01-05,1193590.2896866307
2021-01-06,1209112.3340477452
2021-01-07,1218191.2126335606
2021-01-08,1219963.122156571
2021-01-11,1216667.850191544
2021-01-12,1219714.0783485875
2021-01-13,1220759.3946899876
2021-01-14,1221284.8412765965
2021-01-15,1212732.8359817967
2021-01-19,1217577.8709511266
2021-01-20,1227614.3649836532
2021-01-21,1229304.3464933024
2021-01-22,1217987.965410427
2021-01-25,1217178.4037839926
2021-01-26,1214831.6170026816
2021-01-27,1191258.1768400231
2021-01-28,1202903.6930454404
2021-01-29,1179219.9947804317
2021-02-01,1188857.348875891
2021-02-02,1206398.7602185116
2021-02-03,1206877.4961798748
2021-02-04,1220746.9608481487
2021-02-05,1226507.297371765
2021-02-08,1236663.5356763923
2021-02-09,1235113.4041313014
2021-02-10,1235718.2499049664
2021-02-11,1237024.3991463154
2021-02-12,1237982.4418807758
2021-02-16,1240232.0865569843
2021-02-17,1245050.025056319
2021-02-18,1240904.7064258833
2021-02-19,1239314.5482418318
2021-02-22,1238428.6835567732
2021-02-23,1239795.739674152
2021-02-24,1253500.735857701
2021-02-25,1233822.3903949019
2021-02-26,1215281.0244891401
2021-03-01,1239633.6501136655
2021-03-02,1233041.3736244738
2021-03-03,1227762.0291115344
2021-03-04,1214442.4006973803
2021-03-05,1238385.7823622408
2021-03-08,1248735.9809263702
2021-03-09,1251192.7123640534
2021-03-10,1267244.7393110748
2021-03-11,1273361.3020170685
2021-03-12,1282149.521011209
2021-03-15,1292094.269512033
2021-03-16,1288253.7278479096
2021-03-17,1294392.3836859223
2021-03-18,1286035.8018034454
2021-03-19,1278384.0091322418
2021-03-22,1285190.6302565094
2021-03-23,1274760.0885733124
2021-03-24,1272100.507307225
2021-03-25,1278815.9581472212
2021-03-26,1299192.6723333835
2021-03-29,1303018.2611294761
2021-03-30,1296804.2598514701
2021-03-31,1293284.5460174421
2021-04-01,1298780.7142494062
2021-04-05,1314162.0349304525
2021-04-06,1311532.4666428
2021-04-07,1313247.0487519968
2021-04-08,1313793.9713245395
2021-04-09,1325158.7381816867
2021-04-12,1321134.2212444309
2021-04-13,1317978.558818436
2021-04-14,1317996.2959857944
2021-04-15,1328219.5552860263
2021-04-16,1335147.4637676242
2021-04-19,1330295.3270435443
2021-04-20,1320916.3078708758
2021-04-21,1332779.8507282927
2021-04-22,1320693.4017307952
2021-04-23,1326502.2189305022
2021-04-26,1323821.5426190093
2021-04-27,1323011.1916600547
2021-04-28,1317485.0377866111
2021-04-29,1326478.1748486839
2021-04-30,1319173.026249906
2021-05-03,1328342.896210716
2021-05-04,1326362.2596431728
2021-05-05,1330797.6900700324
2021-05-06,1343526.1534603827
2021-05-07,1353357.081507563
2021-05-10,1351957.8777531378
2021-05-11,1334706.08255279
2021-05-12,1310637.5339802497
2021-05-13,1326574.158079981
2021-05-14,1340264.7852543585
2021-05-17,1338457.8877629035
2021-05-18,1328185.0082234137
2021-05-19,1322252.156821131
2021-05-20,1330587.742003321
2021-05-21,1332932.7972553961
2021-05-24,1341288.475645899
2021-05-25,1337567.559214472
2021-05-26,1339350.8776844733
2021-05-27,1342908.0811184638
2021-05-28,1345510.6416767829
2021-06-01,1345335.335220371
2021-06-02,1347553.4336772545
2021-06-03,1346504.519218026
2021-06-04,1354628.579448281
2021-06-07,1349801.2673831566
2021-06-08,1348469.6636195763
2021-06-09,1343987.8426356895
2021-06-10,1346066.9651700556
2021-06-11,1347369.377765255
2021-06-14,1346190.2035389296
2021-06-15,1342730.6600780836
2021-06-16,1333985.181722676
2021-06-17,1326623.2975968528
2021-06-18,1305540.9865578818
2021-06-21,1326775.85143749
2021-06-22,1329360.12204067
2021-06-23,1325980.7393499953
2021-06-24,1337447.1465683363
2021-06-25,1352737.31631855
2021-06-28,1347738.6250801466
2021-06-29,1347607.8507233046
2021-06-30,1355098.2911491774
2021-07-01,1362169.9194832228
2021-07-02,1367936.3684479771
2021-07-06,1360033.0801820462
2021-07-07,1364737.9678138585
2021-07-08,1356819.637231247
2021-07-09,1373135.3373677966
2021-07-12,1377630.528546895
2021-07-13,1373982.9935140787
2021-07-14,1376826.1218328653
2021-07-15,1377533.0058780776
2021-07-16,1365761.8096195327
2021-07-19,1340154.3142467604
2021-07-20,1358882.4061657058
2021-07-21,1370177.9592434035
2021-07-22,1370920.214442836
2021-07-23,1378078.4724842177
2021-07-26,1381957.0714802563
2021-07-27,1378621.3761279287
2021-07-28,1373839.708944388
2021-07-29,1379858.877622102
2021-07-30,1375574.0333113414
2021-08-02,1373658.1684875472
2021-08-03,1385403.508625029
2021-08-04,1373385.880550383
2021-08-05,1383247.621059416
2021-08-06,1387072.177059172
2021-08-09,1383513.4324394157
2021-08-10,1389210.257787316
2021-08-11,1396777.8176589897
2021-08-12,1399785.5464187553
2021-08-13,1401381.802533715
2021-08-16,1405718.7658477714
2021-08-17,1396556.6157470634
2021-08-18,1380304.0580368792
2021-08-19,1378393.903598978
2021-08-20,1386946.256462774
2021-08-23,1395811.602707586
2021-08-24,1396806.8331781488
2021-08-25,1398436.6458574396
2021-08-26,1389752.3081460358
2021-08-27,1398309.2273781965
2021-08-30,1398307.4217906292
2021-08-31,1396795.6000399883
2021-09-01,1395285.6172432362
2021-09-02,1401584.6912357195
2021-09-03,1398734.3510639055
2021-09-07,1388124.0647753503
2021-09-08,1385490.0878193243
2021-09-09,1380013.63241695
2021-09-10,1370283.8855743716
2021-09-13,1379280.5037776874
2021-09-14,1368076.8304601263
2021-09-15,1376825.174770987
2021-09-16,1373119.672539389
2021-09-17,1366354.888340628
2021-09-20,1343747.9732131737
2021-09-21,1340634.9245033043
2021-09-22,1353758.7926826256
2021-09-23,1373006.3033218163
2021-09-24,1371699.6824863907
2021-09-27,1373181.8647541227
2021-09-28,1353426.355476779
2021-09-29,1357723.0826992216
2021-09-30,1338961.5952457609
2021-10-01,1359989.3202588458
2021-10-04,1351099.4346196551
2021-10-05,1361365.1883427997
2021-10-06,1363983.9682300212
2021-10-07,1376231.0406940104
2021-10-08,1375714.5913354438
2021-10-11,1366259.2482987922
2021-10-12,1360643.7452270992
2021-10-13,1361348.0311844356
2021-10-14,1379886.1688721187
2021-10-15,1391428.6443841436
2021-10-18,1387528.7448247725
2021-10-19,1396749.9916474475
2021-10-20,1405357.2575972953
2021-10-21,1402715.1010764518
2021-10-22,1400902.4948332754
2021-10-25,1402389.7266411285
2021-10-26,1403423.7728828888
2021-10-27,1395772.5006072752
2021-10-28,1409244.9846860524
2021-10-29,1412741.158342516
