,PPO,MinVariance,DJIA
2020-07-01,1000000.0,1000000.0,1000000.0
2020-07-02,1002730.585056683,1004237.6613507394,1003590.0049368924
2020-07-06,1018459.327660156,1013513.183617418,1021451.6892254695
2020-07-07,1005016.9362994821,1012906.4080220954,1006031.0534706049
2020-07-08,1010537.06744225,1012221.2893500037,1012912.7247737511
2020-07-09,998825.6594222444,1004829.9367171393,998877.7582182562
2020-07-10,1012956.3330311337,1012121.4908810031,1013224.4206551077
2020-07-13,1011511.3718430721,1012098.6675299376,1013632.4257824935
2020-07-14,1031084.935630729,1028570.6816695966,1035267.9298179572
2020-07-15,1039183.4883092981,1031727.1603574697,1044108.4203803721
2020-07-16,1035416.0020023125,1033211.4162823794,1038847.5373027568
2020-07-17,1035275.6673012273,1038325.0878960881,1036408.7655833712
2020-07-20,1035035.5718095208,1036111.090363165,1036755.3726177408
2020-07-21,1041795.9001518453,1038556.3559369512,1042954.3790918622
2020-07-22,1046568.7855237047,1046043.1885210164,1049382.9643439492
2020-07-23,1036140.7808623741,1041134.6376111346,1035646.4122529039
2020-07-24,1025279.8278644813,1039904.9986191875,1028557.2472707636
2020-07-27,1027810.414368544,1048284.7770776168,1033021.1694401428
2020-07-28,1021333.1802755668,1043350.6509892662,1025036.3057017882
2020-07-29,1025220.066863015,1041447.456421824,1031264.8348683489
2020-07-30,1015799.9059187359,1037271.5397794636,1022486.1218680048
2020-07-31,1017401.7731978382,1035708.4913192586,1026941.9233996178
2020-08-03,1024922.4721387171,1041503.9513560962,1036115.4360042515
2020-08-04,1028744.5648408022,1046828.7914574861,1042490.8196948993
2020-08-05,1043033.6625467831,1050332.2431507953,1056986.6134701648
2020-08-06,1048335.7777419373,1052916.0004323067,1064193.1861777639
2020-08-07,1051386.809815745,1057704.3578410184,1066000.0660276155
2020-08-10,1063241.7452695558,1060997.347018109,1079909.5042198857
2020-08-11,1060084.81536894,1055859.6090010344,1075847.7433544532
2020-08-12,1069401.8437926653,1069020.5723469858,1087113.7242193467
2020-08-13,1063366.5579083054,1071443.3440091838,1084000.4842025135
2020-08-14,1064405.7088633256,1072479.6897649318,1085333.2554156873
2020-08-17,1060559.4779483983,1079064.002148863,1081987.2490808312
2020-08-18,1058710.3904979916,1083841.5741973727,1079390.0110842912
2020-08-19,1054486.7693495178,1079489.1618981669,1076079.7507343676
2020-08-20,1055278.2709224224,1079284.3371773784,1077900.21557637
2020-08-21,1058320.1337876185,1082115.6009018875,1085306.4649004408
2020-08-24,1072014.9294365013,1088236.9576993403,1099999.734371662
2020-08-25,1075148.7048569054,1095341.2094577812,1097667.4416689656
2020-08-26,1086557.136719718,1111412.2810007865,1100911.2949343538
2020-08-27,1094817.9175097225,1117754.0717918952,1107142.1009152413
2020-08-28,1100387.2686291581,1128144.331296924,1113421.4789351036
2020-08-31,1093331.0127126195,1123415.087992115,1104724.4276752851
2020-09-01,1100850.3172681564,1129568.6903685965,1113102.4972479006
2020-09-02,1119390.140184121,1153166.2806261946,1130776.4961421278
2020-09-03,1089860.5172131704,1130050.9414744661,1099388.485618692
