,PPO,MinVariance,DJIA
2015-01-02,1000000.0,1000000.0,1000000.0
2015-01-05,983336.9196466097,988648.8424996515,981419.8382102343
2015-01-06,977008.0429096243,990895.7221103783,974129.4307173622
2015-01-07,989576.5192484622,1003346.252563562,986066.7953125413
2015-01-08,1007973.0504310989,1020934.7063253515,1004198.8979563093
2015-01-09,999112.209113211,1012578.6706257248,994637.9663481405
2015-01-12,993283.3896238193,1009099.0263730707,989225.0044384251
2015-01-13,992516.3078763107,1008078.3179273265,987701.9757206923
2015-01-14,983553.6687445852,999257.2062152802,977238.7925249584
2015-01-15,974225.4270820529,994679.9719736242,971273.5054445594
2015-01-16,985900.2383065895,1006484.2529540998,981976.1062137842
2015-01-20,986878.031454951,1008930.87607293,982181.3525691007
2015-01-21,989143.3242454875,1007062.2318992469,984371.0486106388
2015-01-22,1004217.706771903,1021923.0604285528,998934.0113253493
2015-01-23,998494.8906402923,1012891.878381304,991005.960139493
2015-01-26,998901.8314163954,1013816.2946539264,991348.0008906422
2015-01-27,978154.3959715377,995613.0054055558,975002.5491509712
2015-01-28,969374.4628237362,987109.5762351577,964020.554863917
2015-01-29,983695.5622176905,1002591.0575539183,976664.56272724
2015-01-30,962523.6030796979,983975.1142051581,962539.0354144153
2015-02-02,974583.4589892223,996837.9050997326,973534.9391396366
2015-02-03,988658.4168111568,1009848.0809660688,990658.33370845
2015-02-04,988087.1029076894,1007800.010853383,991029.5076135554
2015-02-05,997286.60811488,1014787.2391839761,1002909.8106553087
2015-02-06,994588.2360450722,1013979.2315669848,999512.0744327989
2015-02-09,989151.0384009631,1006440.1488154682,994180.4882125178
2015-02-10,1000844.9978311196,1018350.1804227567,1002005.8066975807
2015-02-11,1001032.1281318509,1018904.7637509134,1001634.6327924752
2015-02-12,1009172.911391963,1025516.9785771113,1007816.4471111137
2015-02-13,1012912.2246601463,1028336.6534507484,1010450.2594657834
2015-02-17,1013824.0660103799,1026608.8460643068,1012033.3068615916
2015-02-18,1015013.8538066094,1027572.8562827923,1011039.05584048
2015-02-19,1011865.2896013842,1023665.0455568004,1008567.228202733
2015-02-20,1019987.8866342917,1026915.8378124957,1017240.4748003148
2015-02-23,1019132.9095050737,1025593.0323241645,1015917.1067580046
2015-02-24,1024068.325874357,1029839.5709833609,1021095.6891584473
2015-02-25,1024762.6356100586,1030265.3329439466,1021958.1838479441
2015-02-26,1030652.9883428976,1034059.8869036848,1021388.9921144439
2015-02-27,1025428.7154361703,1033597.8633736882,1016806.4346156191
2015-03-02,1032662.0974154482,1037560.0098937164,1025550.4331585234
2015-03-03,1027941.0643063181,1034788.9769651706,1020769.3102156281
2015-03-04,1021012.2778405253,1027970.9345448362,1014798.9850710111
2015-03-05,1022410.9012892259,1028941.5839137995,1016975.8669057338
2015-03-06,1006437.4240037968,1012969.4750091122,1001333.9917864219
2015-03-09,1013450.5824721074,1018623.0734592198,1009125.2485764457
2015-03-10,995246.4922883149,1002727.6461500402,990464.2587129213
2015-03-11,992281.7597107148,997158.8444452344,988919.434891289
2015-03-12,1004576.0406453732,1011045.4540205544,1003489.626132921
2015-03-13,998553.7608536213,1005020.245308834,995307.5907965957
2015-03-16,1014137.7183448707,1019645.0071893914,1008099.0167998631
2015-03-17,1010695.8200984373,1016375.6937786463,1000902.2515875652
2015-03-18,1023462.1304313191,1027394.2704261162,1013637.6017456234
2015-03-19,1019190.517957578,1020239.972678002,1007067.7469590628
2015-03-20,1029920.3436049938,1031636.0883859219,1016523.3173111938
2015-03-23,1027572.4387867067,1033284.592785134,1015872.2022725833
2015-03-24,1021396.4737280556,1027588.0537579713,1009989.9337286463
2015-03-25,1003696.3966574555,1014238.483314207,993582.0538019259
2015-03-26,1001295.4506847502,1011206.5075279307,991321.7153382003
2015-03-27,1005181.7072239438,1009612.4815573147,993252.3891650514
2015-03-30,1018044.1786455204,1024612.2265626532,1008036.8076590842
2015-03-31,1008072.3310984763,1014910.904295499,996810.9053499971
2015-04-01,1002862.0428264046,1009392.8491839361,992440.3846408698
2015-04-02,1005930.6568506898,1012723.6315277597,996088.7097966583
2015-04-06,1012942.5216943874,1019069.6327057438,1002683.754904309
2015-04-07,1012880.2625865263,1017953.1265338653,1002379.2805885248
2015-04-08,1015741.1114386612,1019820.4792866299,1003898.3664733912
2015-04-09,1018176.3911714918,1021103.8687705658,1007050.9899193811
2015-04-10,1023295.3293510029,1024625.0459396192,1012598.0081465498
2015-04-13,1018955.2700167621,1020905.3543510691,1008077.6597885041
2015-04-14,1021191.6036673974,1023131.8196761344,1011423.153475536
2015-04-15,1027425.029497234,1024544.959116851,1015679.8796472173
2015-04-16,1028899.9855311558,1023073.2532473928,1015296.329627837
2015-04-17,1012053.0858092363,1009129.3822722799,999624.8832620282
2015-04-20,1024315.3347543639,1020894.0157052295,1011323.9255150681
2015-04-21,1020739.6564970929,1014754.1890276673,1006538.4216467657
2015-04-22,1025759.5734072204,1020141.6023486183,1011511.210076216
2015-04-23,1027475.0717409292,1021103.682052803,1012656.2744544625
2015-04-24,1030945.4818486128,1023991.2020349453,1013859.1670480809
2015-04-27,1027228.4961037784,1019474.5505778554,1011494.4530365344
2015-04-28,1032374.793216234,1024839.8051744822,1015541.4424043569
2015-04-29,1032073.012937585,1019636.4399895805,1011357.5491175666
2015-04-30,1021845.1301182887,1012377.0738869398,1000422.2116860966
2015-05-01,1032388.6579580416,1019885.4619200137,1010714.4292678236
2015-05-04,1033984.4306520127,1019541.538047084,1013312.9751729673
2015-05-05,1026454.0677957648,1013897.8802070151,1005338.9242703377
2015-05-06,1022797.80650203,1011262.2184294199,1000504.1349912069
2015-05-07,1026449.5992634257,1013206.726911925,1005106.8447469036
2015-05-08,1038727.8661696817,1025141.2150121991,1020081.8334961395
2015-05-11,1034168.7448493507,1017806.2718071743,1015262.7060253385
2015-05-12,1031785.1620202152,1016703.3365793322,1013191.2949697885
2015-05-13,1034567.1777612157,1016707.7683387471,1012757.2547850931
2015-05-14,1045886.7805836247,1025136.6344953068,1023509.7981039573
2015-05-15,1047974.6550893618,1027566.0591995685,1024649.2768023099
2015-05-18,1049869.5017969252,1027079.2827354914,1026125.2105719178
2015-05-19,1048613.3190246997,1025732.0304717215,1026882.7820979179
2015-05-20,1047286.12125464,1023802.2421559459,1025369.2818929454
2015-05-21,1048719.405507316,1022842.5306368979,1025388.3389184657
2015-05-22,1046076.1492552097,1017000.5462262288,1022375.9050854986
2015-05-26,1034635.5627973798,1007603.8773165398,1011694.5518044977
2015-05-27,1042119.9418900904,1011810.9403014698,1018505.0289190363
2015-05-28,1039284.4730949515,1009626.4220568256,1016437.4511732173
2015-05-29,1034299.8148612481,1003867.5319243921,1009964.0862687451
2015-06-01,1035253.2791514246,1005120.8638542513,1011628.9474465284
2015-06-02,1033310.1976922477,1004034.5430595342,1010034.7286909324
2015-06-03,1036226.0558741034,1005548.4592209472,1013642.0921941658
2015-06-04,1026316.8090343064,995651.3855610942,1004070.536841885
2015-06-05,1022766.2970901495,987357.2681958429,1000923.6085989241
2015-06-08,1016889.0387101128,983806.9590813919,996274.3515107785
2015-06-09,1016602.3282866181,983840.0386256557,996133.5047589445
2015-06-10,1029618.4082886975,992927.1238501692,1009387.6660083232
2015-06-11,1032200.4161411136,995481.166716678,1011572.871601319
2015-06-12,1023503.2970577809,987969.1946675756,1003692.5725023989
2015-06-15,1018977.6194080715,981481.5591451892,997654.8906296496
2015-06-16,1025945.9456148101,988822.3360660373,1004008.8753167819
2015-06-17,1028963.846926457,992873.2316731227,1005761.7930952454
2015-06-18,1040680.4231179088,1003309.5928357418,1015861.0309127953
2015-06-19,1035205.6670705874,997011.2380795716,1010259.5796874452
2015-06-22,1040599.8544514062,1001219.7170858923,1016081.9390764417
2015-06-23,1040995.8094445093,1000388.6701931308,1017444.0783086036
2015-06-24,1032160.8363616501,993185.497929065,1007462.5778613657
2015-06-25,1028305.2633148808,988922.5407025327,1003217.0230494724
2015-06-26,1029759.1432430209,992480.5424407051,1006375.2321753561
2015-06-29,1008726.0035526728,975220.7608166991,986730.1769422914
2015-06-30,1009430.6860395157,973919.5428835489,988028.9022791873
2015-07-01,1018328.2897418222,985477.9351534906,995789.8211607678
2015-07-02,1017366.8421847586,986127.6292714409,994230.8688546979
2015-07-06,1014438.7134396868,985084.8749944845,991621.6992054426
2015-07-07,1021001.4760003939,997011.3329429646,996855.2622197426
2015-07-08,1006812.4256186681,986360.4868945801,982191.9763132125
2015-07-09,1007901.1592067608,988101.0013643468,984053.6505649039
2015-07-10,1019950.8682582272,998199.1152368316,995930.0107737909
2015-07-13,1031846.383971031,1007413.7684386483,1008113.5833768413
2015-07-14,1037439.1564179639,1010712.7618192619,1012369.7619328466
2015-07-15,1037632.8479297146,1009761.0789896279,1012178.5345388326
2015-07-16,1043508.7919128507,1015000.2697424042,1016108.3341520188
2015-07-17,1041436.3176842491,1010078.6904375958,1014212.9267746938
2015-07-20,1042085.1912109746,1011547.5769280101,1014995.7981449191
2015-07-21,1036479.4395445118,1005252.4559434553,1004839.2797276728
2015-07-22,1032158.9228908021,1003630.543531418,1001012.1032921451
2015-07-23,1026194.9607262008,1001100.6302424687,994332.3968010045
2015-07-24,1016987.8577492535,991906.1537146871,985170.12940487
2015-07-27,1011801.7626735833,986779.6266519999,977995.8164352827
2015-07-28,1024177.5992118785,994448.8778481887,988632.2652308622
2015-07-29,1031151.9721665059,1002383.6212186195,995424.2329355562
2015-07-30,1030292.7090571789,998804.155952086,995120.8538511237
2015-07-31,1030559.3916954752,997331.8926231519,991973.8160850276
2015-08-03,1026476.2941234955,996180.9362291871,986833.8953513015
2015-08-04,1024165.065304923,993975.6034944023,984169.7450881886
2015-08-05,1026229.4695610852,990793.5147945907,983596.720044957
2015-08-06,1017631.0531615673,985806.6000534412,976827.2045829736
2015-08-07,1016993.6923793535,979864.8173991344,974227.0158308025
2015-08-10,1030254.9412822973,990288.7423978203,987785.5418728302
2015-08-11,1018989.3270331855,985871.3774116904,975878.9532786353
2015-08-12,1019557.4208578102,985702.8163451147,975860.4438687909
2015-08-13,1019962.4134038112,987192.173937301,976182.3323630679
2015-08-14,1024281.7035443055,988934.7400997896,980059.9989639112
2015-08-17,1028559.5563584307,990679.5277229262,983860.7803238621
2015-08-18,1025379.2970287008,984766.2093019299,981963.1824838335
2015-08-19,1015929.8810049433,976520.1546939202,972844.7243417688
2015-08-20,992975.9402680135,960746.2481141057,952767.2717710362
2015-08-21,963922.638726289,935117.0982207999,922994.393182141
2015-08-24,928707.7903863963,901297.8673227356,889999.3439564203
2015-08-25,915533.2051018293,886788.4378775894,878508.8885143198
2015-08-26,953493.6983927265,917870.6430489342,913223.7247701137
2015-08-27,974012.7203296607,934480.770787931,933930.2782292869
2015-08-28,975105.1605982146,931024.5245578885,933270.839432403
2015-08-31,968525.6977225547,925037.392766347,926823.2124646966
2015-09-01,941355.0193122812,905044.2031910988,900485.5270105408
2015-09-02,959247.5158594492,918714.6077739275,916917.4472654318
2015-09-03,960476.1967900913,920409.5145807063,918228.4939550348
2015-09-04,944583.7952049064,906125.0913752443,902954.5618083408
2015-09-08,969822.962744339,927649.5080796337,924840.9532411784
2015-09-09,954951.0577071862,912785.567212357,911432.6929406096
2015-09-10,960101.9682525932,913168.4463221654,915741.0045089578
2015-09-11,965149.0881348276,919382.0092110079,921499.4023870128
2015-09-14,961528.6050248338,916763.5697746413,918015.4166955535
2015-09-15,975387.4792257998,928675.3867340132,930850.5971913231
2015-09-16,982498.4578001912,935362.1945809473,938706.801200505
2015-09-17,979896.7839755162,931620.5349603847,935050.1522864433
2015-09-18,963078.0098880138,917701.078799593,918779.1762786908
2015-09-21,967705.0365654794,923261.9024995903,925822.8281480153
2015-09-22,958012.0129561316,915576.8678628923,915744.8925802566
2015-09-23,955381.0493209836,912255.0091691369,912908.5719486498
2015-09-24,950482.8640217722,910570.3157107208,908502.730028429
2015-09-25,955154.5723450314,914167.1405803025,914858.9051782647
2015-09-28,936969.182041172,904709.9780786734,897319.486980492
2015-09-29,939704.1892123863,910794.2245080976,899968.5230509508
2015-09-30,954945.9531095503,919292.342345791,913178.3274305839
2015-10-01,955251.0235657664,914164.6124590086,912466.7008597894
2015-10-02,966898.6194210668,923244.2241990177,923702.0221585017
2015-10-05,985449.2935728416,940699.6521263008,940752.4743192891
2015-10-06,984531.5311718658,939582.42092512,941524.0648065915
2015-10-07,993264.2177916236,946538.619701916,948370.9036020078
