date,equity
2015-01-02,1000000.0
2015-01-05,986208.0645501323
2015-01-06,980164.7515036302
2015-01-07,992213.9880498203
2015-01-08,1010082.421582601
2015-01-09,1001564.9583487352
2015-01-12,995994.3932564338
2015-01-13,995299.3387102096
2015-01-14,986791.1970692672
2015-01-15,977907.2987253945
2015-01-16,988972.0583410218
2015-01-20,989867.9648245431
2015-01-21,991948.5059571773
2015-01-22,1006324.1852366386
2015-01-23,1000848.5380396615
2015-01-26,1001213.1600776376
2015-01-27,981563.9812995661
2015-01-28,973152.3181285412
2015-01-29,986778.2343284623
2015-01-30,966672.989089716
2015-02-02,978219.761970828
2015-02-03,991553.7134804219
2015-02-04,990747.377444274
2015-02-05,999493.2796629344
2015-02-06,996960.7324029327
2015-02-09,991736.616683024
2015-02-10,1002845.6283369428
2015-02-11,1003026.022353462
2015-02-12,1010707.8681988312
2015-02-13,1014282.4874702146
2015-02-17,1015129.408725133
2015-02-18,1016247.9503047002
2015-02-19,1013155.0062132949
2015-02-20,1020815.8592722353
2015-02-23,1019949.0359131702
2015-02-24,1024634.0677180613
2015-02-25,1025298.7565851117
2015-02-26,1030883.6700977825
2015-02-27,1025906.4327477843
2015-03-02,1032805.8907464413
2015-03-03,1028367.5864091712
2015-03-04,1021817.5139976761
2015-03-05,1023124.3386147389
2015-03-06,1007919.7855859736
2015-03-09,1014582.5584658528
2015-03-10,997270.9023710195
2015-03-11,994476.7436076213
2015-03-12,1006248.5547606789
2015-03-13,1000513.220814561
2015-03-16,1015514.5181201978
2015-03-17,1012240.9191606669
2015-03-18,1024348.6926368454
2015-03-19,1020277.049999218
2015-03-20,1030409.5967878541
2015-03-23,1028275.3009678897
2015-03-24,1022367.7923101721
2015-03-25,1005469.4809763748
2015-03-26,1003183.0618723815
2015-03-27,1006711.8477543698
2015-03-30,1018838.2380747733
2015-03-31,1009500.0088293094
2015-04-01,1004486.3441923988
2015-04-02,1007231.2603588527
2015-04-06,1013882.3230123491
2015-04-07,1013802.2941970368
2015-04-08,1016388.542694919
2015-04-09,1018604.4787145486
2015-04-10,1023448.6980993967
2015-04-13,1019316.0486716209
2015-04-14,1021420.5364083556
2015-04-15,1027672.3336902445
2015-04-16,1029058.6739391526
2015-04-17,1013059.8147749719
