,PPO,MinVariance,DJIA
2015-01-02,1000000.0,1000000.0,1000000.0
2015-01-05,983306.9440679682,988639.0462270528,981419.8382102343
2015-01-06,976945.245450147,990876.0503649712,974129.4307173622
2015-01-07,989724.1105588453,1003316.1241672751,986066.7953125413
2015-01-08,1008429.5684152695,1020903.9880341752,1004198.8979563093
2015-01-09,999504.1704943685,1012568.4172731908,994637.9663481405
2015-01-12,993652.7413417536,1009078.5878956236,989225.0044384251
2015-01-13,992903.5854343321,1008057.9586891397,987701.9757206923
2015-01-14,983832.4751081163,999237.0891626348,977238.7925249584
2015-01-15,974456.305685674,994659.7887323567,971273.5054445594
2015-01-16,985880.939794429,1006463.956733523,981976.1062137842
2015-01-20,986662.6772576859,1008910.7001890843,982181.3525691007
2015-01-21,988873.9680710323,1007021.5717664637,984371.0486106388
2015-01-22,1003731.9746729338,1021881.9557531201,998934.0113253493
2015-01-23,997920.7633153772,1012881.4496960137,991005.960139493
2015-01-26,998356.7547385369,1013795.6999226916,991348.0008906422
2015-01-27,977460.5168206722,995592.6939229488,975002.5491509712
2015-01-28,968564.5547898283,987089.6059083616,964020.554863917
2015-01-29,982748.4391752033,1002580.8002267991,976664.56272724
2015-01-30,961467.4098411,983965.0631707851,962539.0354144153
2015-02-02,973631.7059554064,996837.6839496363,973534.9391396366
2015-02-03,987699.4290447963,1009827.7228746995,990658.33370845
2015-02-04,986803.2001435249,1007789.8553922325,991029.5076135554
2015-02-05,995800.0840286844,1014787.307759991,1002909.8106553087
2015-02-06,993344.5317196307,1013958.899697181,999512.0744327989
2015-02-09,987855.002297229,1006430.1700763819,994180.4882125178
2015-02-10,999261.35672615,1018340.3858194442,1002005.8066975807
2015-02-11,999521.0120157085,1018884.902324876,1001634.6327924752
2015-02-12,1007296.8647816421,1025498.1553951084,1007816.4471111137
2015-02-13,1010675.0337526486,1028317.5784901053,1010450.2594657834
2015-02-17,1011574.9868650521,1026579.6682887981,1012033.3068615916
2015-02-18,1012720.0210872949,1027543.5510535626,1011039.05584048
2015-02-19,1009547.8518773584,1023656.2448939681,1008567.228202733
2015-02-20,1017448.5702288345,1026886.4678364255,1017240.4748003148
2015-02-23,1016613.5874467304,1025563.8842351061,1015917.1067580046
2015-02-24,1021636.5955216736,1029820.5948655875,1021095.6891584473
2015-02-25,1022276.0626949556,1030276.9549679543,1021958.1838479441
2015-02-26,1028276.5128793927,1034050.9963977803,1021388.9921144439
2015-02-27,1022920.179927657,1033599.3919920246,1016806.4346156191
2015-03-02,1029870.826204774,1037561.5109405785,1025550.4331585234
2015-03-03,1025020.1989804457,1034780.0054022738,1020769.3102156281
2015-03-04,1018060.7468876415,1027962.0911948113,1014798.9850710111
2015-03-05,1019458.9290964684,1028932.6087520667,1016975.8669057338
2015-03-06,1003484.2158141962,1012960.7893279971,1001333.9917864219
2015-03-09,1010431.9498853333,1018614.177188757,1009125.2485764457
2015-03-10,992218.3455579923,1002739.1217735063,990464.2587129213
2015-03-11,989519.4415194581,997180.1157814211,988919.434891289
2015-03-12,1001611.3687874832,1011046.8959145215,1003489.626132921
2015-03-13,995654.0910490904,1005021.4712146145,995307.5907965957
2015-03-16,1011181.7504019161,1019646.4352588119,1008099.0167998631
2015-03-17,1007595.9162006183,1016346.5903572297,1000902.2515875652
2015-03-18,1020407.06107487,1027364.8332840289,1013637.6017456234
2015-03-19,1016018.583138219,1020210.9776520403,1007067.7469590628
2015-03-20,1026668.5934615685,1031596.4430138789,1016523.3173111938
2015-03-23,1024229.9735984713,1033255.2573592406,1015872.2022725833
2015-03-24,1018068.9050426468,1027569.0345103971,1009989.9337286463
2015-03-25,1000414.3153333245,1014219.6911767286,993582.0538019259
2015-03-26,997812.4582607289,1011198.116556684,991321.7153382003
2015-03-27,1001529.8708154954,1009614.1238536965,993252.3891650514
2015-03-30,1014417.0224602445,1024634.4452956172,1008036.8076590842
2015-03-31,1004605.4289409244,1014943.0692202314,996810.9053499971
2015-04-01,999283.5131681684,1009434.76481552,992440.3846408698
2015-04-02,1002284.2714240726,1012765.8066168488,996088.7097966583
2015-04-06,1009184.6713678079,1019101.7620948544,1002683.754904309
2015-04-07,1008919.8235857111,1017985.2240552307,1002379.2805885248
2015-04-08,1011526.080947521,1019862.9462026792,1003898.3664733912
2015-04-09,1013878.8327405502,1021135.9515357655,1007050.9899193811
2015-04-10,1018846.3509018841,1024667.3721608606,1012598.0081465498
2015-04-13,1014471.7337767528,1020917.1888922249,1008077.6597885041
2015-04-14,1016757.2758285019,1023143.6465940757,1011423.153475536
2015-04-15,1023148.3644182533,1024556.9445252444,1015679.8796472173
2015-04-16,1024396.8164262185,1023105.6181147471,1015296.329627837
2015-04-17,1007302.2483754266,1009151.0363325314,999624.8832620282
2015-04-20,1019422.4674051555,1020916.0182481428,1011323.9255150681
2015-04-21,1015738.4266444807,1014775.8979341941,1006538.4216467657
2015-04-22,1020708.848694347,1020153.1510943725,1011511.210076216
2015-04-23,1022461.5622025122,1021105.0742907772,1012656.2744544625
2015-04-24,1026690.6117131347,1023972.0923994505,1013859.1670480809
2015-04-27,1022938.955331969,1019455.3430029644,1011494.4530365344
2015-04-28,1027891.3275669399,1024810.101760954,1015541.4424043569
2015-04-29,1027944.6402805148,1019607.0122191084,1011357.5491175666
2015-04-30,1017623.2275445538,1012347.8964591579,1000422.2116860966
2015-05-01,1027957.2931517382,1019835.1382241813,1010714.4292678236
2015-05-04,1029386.2542313428,1019491.3007256044,1013312.9751729673
2015-05-05,1021867.44547815,1013847.765584485,1005338.9242703377
2015-05-06,1017986.4247873889,1011222.4290272429,1000504.1349912069
2015-05-07,1021688.0796837109,1013166.8837080135,1005106.8447469036
2015-05-08,1033845.5368093767,1025111.3495192449,1020081.8334961395
