date,equity
2015-01-02,1000000.0
2015-01-05,986208.0852183062
2015-01-06,980126.9797277419
2015-01-07,992356.7491195571
2015-01-08,1010222.3673496821
2015-01-09,1001789.6329211063
2015-01-12,996203.3372453329
2015-01-13,995510.9222437242
2015-01-14,986949.0493546998
2015-01-15,977964.5577194564
2015-01-16,988887.7504773102
2015-01-20,989717.0425360684
2015-01-21,991769.6849597421
2015-01-22,1006018.2413214308
2015-01-23,1000738.8808667936
2015-01-26,1001177.8422948783
2015-01-27,981318.4011115123
2015-01-28,972859.3349667548
2015-01-29,986566.1415008035
2015-01-30,966339.593535337
2015-02-02,978059.4089960036
2015-02-03,991506.4479052078
2015-02-04,990777.8443851313
2015-02-05,999496.2161507137
2015-02-06,997158.8414002587
2015-02-09,991977.3436060892
2015-02-10,1002928.6536943929
2015-02-11,1003214.7288619188
2015-02-12,1010756.0942986776
2015-02-13,1014039.6894287986
2015-02-17,1014898.7029082001
2015-02-18,1016104.7842369778
2015-02-19,1013088.8795204095
2015-02-20,1020855.6183714834
2015-02-23,1020078.2180043643
2015-02-24,1024891.639894453
2015-02-25,1025497.7988224154
2015-02-26,1031288.7435251758
2015-02-27,1026350.3821141933
2015-03-02,1033101.6902052792
2015-03-03,1028512.8980736588
2015-03-04,1021939.7785757429
2015-03-05,1023371.3183669308
2015-03-06,1008212.8447925663
2015-03-09,1014903.8626468504
2015-03-10,997561.704633382
2015-03-11,994974.1181117842
2015-03-12,1006604.2177119589
2015-03-13,1000963.9169746067
2015-03-16,1015843.6287212447
2015-03-17,1012436.6895015156
2015-03-18,1024662.8091570992
2015-03-19,1020649.5158125745
2015-03-20,1030842.082233574
2015-03-23,1028600.7575249324
2015-03-24,1022748.8413714182
2015-03-25,1005892.576625373
2015-03-26,1003582.5023104082
2015-03-27,1007316.8288152926
2015-03-30,1019840.5787117686
2015-03-31,1010427.5814890533
2015-04-01,1005446.578105675
2015-04-02,1008294.3942796759
2015-04-06,1014934.996461591
2015-04-07,1014755.3730577886
2015-04-08,1017248.176367749
2015-04-09,1019522.9321426173
2015-04-10,1024348.7449915082
2015-04-13,1020164.1983625698
2015-04-14,1022379.7895382236
2015-04-15,1028516.7483638478
2015-04-16,1029770.6861098865
2015-04-17,1013565.432031119
2015-04-20,1025327.246992558
2015-04-21,1021869.4706351834
2015-04-22,1026674.1308289942
2015-04-23,1028315.331969377
2015-04-24,1032303.2856457393
2015-04-27,1028739.9438331178
2015-04-28,1033436.6202637054
2015-04-29,1032939.1338789545
2015-04-30,1023122.4527648262
2015-05-01,1033092.3530076125
2015-05-04,1034591.4521133873
2015-05-05,1027372.0211767581
2015-05-06,1023899.7865973997
2015-05-07,1027493.4045279017
2015-05-08,1039307.239154113
2015-05-11,1035084.6238385715
2015-05-12,1032853.2512660892
2015-05-13,1035486.7225068439
2015-05-14,1046242.0927557936
2015-05-15,1048183.3344453423
2015-05-18,1050070.520145491
2015-05-19,1048616.8336155845
2015-05-20,1047335.9262958086
2015-05-21,1048674.0626662036
2015-05-22,1046293.8410626088
2015-05-26,1035422.3274918835
2015-05-27,1042500.6250223472
2015-05-28,1039681.6324937753
2015-05-29,1034382.3578373442
2015-06-01,1035354.0412616472
2015-06-02,1033548.0073390768
2015-06-03,1036319.8517358075
2015-06-04,1026885.4912354536
2015-06-05,1023715.1157625035
2015-06-08,1018235.6888190778
2015-06-09,1018015.938869918
2015-06-10,1030370.1547523836
2015-06-11,1032784.4000352192
2015-06-12,1024487.7628402719
2015-06-15,1020132.8978321751
2015-06-16,1026736.5959109789
2015-06-17,1029621.5265347196
2015-06-18,1040816.3831997975
2015-06-19,1035425.6567582238
2015-06-22,1040556.2518042896
2015-06-23,1040861.1689763787
2015-06-24,1032402.0067360178
2015-06-25,1028676.0420860298
2015-06-26,1030076.6934224386
2015-06-29,1009950.3867144241
2015-06-30,1010740.4726517746
2015-07-01,1019326.3012320804
2015-07-02,1018385.9060449984
2015-07-06,1015537.5360523344
2015-07-07,1021756.9184755797
2015-07-08,1008125.4738268298
2015-07-09,1009063.6477135242
2015-07-10,1020658.897601478
2015-07-13,1031993.3121089728
2015-07-14,1037170.8102228809
2015-07-15,1037313.8097198647
2015-07-16,1042759.7449737709
2015-07-17,1040893.2531234475
2015-07-20,1041531.429125568
2015-07-21,1036260.7115164413
2015-07-22,1032102.8116338276
2015-07-23,1026574.7340732564
2015-07-24,1017879.4508155903
2015-07-27,1012521.7224411322
2015-07-28,1024508.2705721025
2015-07-29,1031119.9078895946
2015-07-30,1030159.554550394
2015-07-31,1030186.6201843244
2015-08-03,1026337.5527383267
2015-08-04,1024350.0796570958
2015-08-05,1026340.9910645314
2015-08-06,1018359.828520016
2015-08-07,1017580.1618841945
2015-08-10,1030452.2998440268
2015-08-11,1020015.88289447
2015-08-12,1020447.6517832773
2015-08-13,1020794.9744510986
2015-08-14,1024924.657275571
2015-08-17,1028885.90905993
2015-08-18,1025867.6850250772
2015-08-19,1016951.1698956513
2015-08-20,994944.32480574
2015-08-21,967230.2581917408
2015-08-24,933736.6242112309
2015-08-25,921291.5569580359
2015-08-26,957493.1483520424
2015-08-27,977173.9835485241
2015-08-28,978073.687052415
2015-08-31,971483.9643615157
2015-09-01,945815.5141037939
2015-09-02,962895.2674800293
2015-09-03,963823.8129657769
2015-09-04,948829.8750360183
2015-09-08,973132.4791749213
2015-09-09,959120.9317295819
