,Benchmark,Strategy
Start Period,2015-01-06,2015-01-06
End Period,2021-10-29,2021-10-29
Risk-Free Rate,0,0
Time in Market,1.0,1.0
Cumulative Return,1.05,1.63
CAGR﹪,0.11,0.15
Sharpe,0.66,0.9
Prob. Sharpe Ratio,0.95,0.99
Smart Sharpe,0.54,0.74
Sortino,0.91,1.28
Smart Sortino,0.74,1.05
Sortino/√2,0.64,0.9
Smart Sortino/√2,0.53,0.74
Omega,1.15,1.21
Max Drawdown,-0.37,-0.32
Max DD Date,2020-03-23,2020-03-23
Max DD Period Start,2020-02-13,2020-02-13
Max DD Period End,2020-11-13,2020-08-25
Longest DD Days,419,196
Volatility (ann.),0.19,0.17
R^2,0.98,0.98
Information Ratio,0.08,0.08
Calmar,0.3,0.48
Skew,-0.65,-0.4
Kurtosis,23.58,22.48
Ulcer Performance Index,16.68,35.66
Risk-Adjusted Return,0.11,0.15
Risk-Return Ratio,0.04,0.06
Avg. Return,0,0
Avg. Win,0.01,0.01
Avg. Loss,-0.01,-0.01
Win/Loss Ratio,0.92,0.96
Profit Ratio,0.79,0.75
Expected Daily,0,0
Expected Monthly,0.01,0.01
Expected Yearly,0.11,0.15
Kelly Criterion,0.05,0.1
Risk of Ruin,0,0
Daily Value-at-Risk,-0.02,-0.02
Expected Shortfall (cVaR),-0.03,-0.03
Max Consecutive Wins,12.0,14.0
Max Consecutive Losses,8.0,7.0
Gain/Pain Ratio,0.15,0.21
Gain/Pain (1M),0.95,1.52
Payoff Ratio,0.92,0.96
Profit Factor,1.15,1.21
Common Sense Ratio,1.04,1.13
CPC Index,0.58,0.65
Tail Ratio,0.91,0.94
Outlier Win Ratio,4.01,4.22
Outlier Loss Ratio,4.3,4.25
MTD,0.06,0.05
3M,0.03,0.02
6M,0.06,0.06
YTD,0.17,0.17
1Y,0.35,0.36
3Y (ann.),0.13,0.17
5Y (ann.),0.14,0.18
10Y (ann.),0.11,0.15
All-time (ann.),0.11,0.15
Best Day,0.11,0.11
Worst Day,-0.13,-0.11
Best Month,0.12,0.13
Worst Month,-0.14,-0.09
Best Year,0.25,0.27
Worst Year,-0.06,0.02
Avg. Drawdown,-0.02,-0.02
Avg. Drawdown Days,26,16
Recovery Factor,2.25,3.34
Ulcer Index,0.06,0.05
Serenity Index,0.88,1.77
Avg. Up Month,0.03,0.03
Avg. Down Month,-0.04,-0.03
Win Days,0.55,0.56
Win Month,0.68,0.72
Win Quarter,0.79,0.82
Win Year,0.71,1.0
Beta,-,0.92
Alpha,-,0.04
Correlation,-,0.99%
Treynor Ratio,-,1.77%
