,PPO,MinVariance,DJIA
2015-01-02,1000000.0,1000000.0,1000000.0
2015-01-05,984249.6542415225,988639.0462270528,981419.8382102343
2015-01-06,978706.9728186214,990876.0503649712,974129.4307173622
2015-01-07,990941.3637096495,1003316.1241672751,986066.7953125413
2015-01-08,1009801.8318340136,1020903.9880341752,1004198.8979563093
2015-01-09,1000762.6455405984,1012568.4172731908,994637.9663481405
2015-01-12,995942.3962416985,1009078.5878956236,989225.0044384251
2015-01-13,994785.8188339459,1008057.9586891397,987701.9757206923
2015-01-14,985200.769070952,999237.0891626348,977238.7925249584
2015-01-15,976761.1719641909,994659.7887323567,971273.5054445594
2015-01-16,988064.1510203957,1006463.956733523,981976.1062137842
2015-01-20,989184.7221632086,1008910.7001890843,982181.3525691007
2015-01-21,990923.6404709223,1007021.5717664637,984371.0486106388
2015-01-22,1004983.658627715,1021881.9557531201,998934.0113253493
2015-01-23,999279.909785084,1012881.4496960137,991005.960139493
2015-01-26,999968.1788843089,1013795.6999226916,991348.0008906422
2015-01-27,978980.6215946765,995592.6939229488,975002.5491509712
2015-01-28,969120.2111448318,987089.6059083616,964020.554863917
2015-01-29,983481.0569943754,1002580.8002267991,976664.56272724
2015-01-30,962473.7808970885,983965.0631707851,962539.0354144153
2015-02-02,975156.6301714474,996837.6839496363,973534.9391396366
2015-02-03,989579.7969809244,1009827.7228746995,990658.33370845
2015-02-04,989405.3369156906,1007789.8553922325,991029.5076135554
2015-02-05,998246.6279987546,1014787.307759991,1002909.8106553087
2015-02-06,997062.1728674651,1013958.899697181,999512.0744327989
2015-02-09,991413.8648398019,1006430.1700763819,994180.4882125178
2015-02-10,1002475.4695337692,1018340.3858194442,1002005.8066975807
2015-02-11,1002118.4034784473,1018884.902324876,1001634.6327924752
2015-02-12,1009192.4618055194,1025498.1553951084,1007816.4471111137
2015-02-13,1012322.7930545997,1028317.5784901053,1010450.2594657834
2015-02-17,1012850.713230673,1026579.6682887981,1012033.3068615916
2015-02-18,1014447.1873555982,1027543.5510535626,1011039.05584048
2015-02-19,1010682.6357002867,1023656.2448939681,1008567.228202733
2015-02-20,1018480.2474695065,1026886.4678364255,1017240.4748003148
2015-02-23,1017891.6124116589,1025563.8842351061,1015917.1067580046
2015-02-24,1022496.5366738786,1029820.5948655875,1021095.6891584473
2015-02-25,1024044.4655452914,1030276.9549679543,1021958.1838479441
2015-02-26,1029758.4769861645,1034050.9963977803,1021388.9921144439
2015-02-27,1024976.5119987844,1033599.3919920246,1016806.4346156191
2015-03-02,1031844.2489100717,1037561.5109405785,1025550.4331585234
2015-03-03,1027016.0156538783,1034780.0054022738,1020769.3102156281
2015-03-04,1020112.1552182557,1027962.0911948113,1014798.9850710111
2015-03-05,1021824.8741173329,1028932.6087520667,1016975.8669057338
2015-03-06,1006027.537498951,1012960.7893279971,1001333.9917864219
2015-03-09,1012617.9586014261,1018614.177188757,1009125.2485764457
2015-03-10,994978.7117504338,1002739.1217735063,990464.2587129213
2015-03-11,992251.7524269264,997180.1157814211,988919.434891289
2015-03-12,1005020.849424359,1011046.8959145215,1003489.626132921
2015-03-13,999805.0718797001,1005021.4712146145,995307.5907965957
2015-03-16,1014389.2270477213,1019646.4352588119,1008099.0167998631
2015-03-17,1010790.7821893867,1016346.5903572297,1000902.2515875652
2015-03-18,1023496.6238812518,1027364.8332840289,1013637.6017456234
2015-03-19,1019504.2917861958,1020210.9776520403,1007067.7469590628
2015-03-20,1031176.7765450466,1031596.4430138789,1016523.3173111938
2015-03-23,1029318.0182770467,1033255.2573592406,1015872.2022725833
2015-03-24,1023441.7912889038,1027569.0345103971,1009989.9337286463
2015-03-25,1005910.5060940423,1014219.6911767286,993582.0538019259
2015-03-26,1003697.0607246807,1011198.116556684,991321.7153382003
2015-03-27,1007433.0057393446,1009614.1238536965,993252.3891650514
2015-03-30,1019534.273203949,1024634.4452956172,1008036.8076590842
