date,ticker,side,quantity,price
2015-01-05,AAPL,BUY,1454,24.042134423807454
2015-01-05,AMGN,BUY,306,114.56046993108157
2015-01-05,AXP,BUY,445,78.83630587908294
2015-01-05,BA,BUY,309,113.63096590977253
2015-01-05,CAT,BUY,509,67.93028273801637
2015-01-05,CRM,BUY,602,58.38284863687778
2015-01-05,CSCO,BUY,1794,19.490304602409566
2015-01-05,CVX,BUY,506,68.67711488746416
2015-01-05,DIS,BUY,412,85.0017079897725
2015-01-05,GS,BUY,226,155.25912836233616
2015-01-05,HD,BUY,443,78.87245606200712
2015-01-05,HON,BUY,496,70.70079625444846
2015-01-05,IBM,BUY,363,96.38178466193744
2015-01-05,INTC,BUY,1261,27.910402084350583
2015-01-05,JNJ,BUY,459,76.58690407562256
2015-01-05,JPM,BUY,760,46.118804172839596
2015-01-05,KO,BUY,1189,29.594803281784056
2015-01-05,MCD,BUY,500,70.31303201293944
2015-01-05,MMM,BUY,367,95.43429479020826
2015-01-05,MRK,BUY,914,38.50359428787231
2015-01-05,MSFT,BUY,884,39.742172552901145
2015-01-05,NKE,BUY,855,40.90100924068325
2015-01-05,PG,BUY,536,65.5885105934143
2015-01-05,TRV,BUY,426,82.31498117414763
2015-01-05,UNH,BUY,419,83.55427922049974
2015-01-05,VZ,BUY,1367,25.745841493606562
2015-01-05,WMT,BUY,1521,23.139102450370785
2015-01-06,AAPL,SELL,-107,23.49930518436432
2015-01-06,AMGN,SELL,-3,113.34811326599122
2015-01-06,AXP,SELL,-33,76.91146857070923
2015-01-06,BA,SELL,-28,112.81361349868773
2015-01-06,CVX,SELL,-31,66.71683089065552
2015-01-06,DIS,SELL,-35,84.07639475250245
2015-01-06,HD,SELL,-35,77.66717115783692
2015-01-06,HON,SELL,-40,69.54781215286255
2015-01-06,IBM,SELL,-30,95.28226819992067
2015-01-06,JNJ,SELL,-29,75.9759548110962
2015-01-06,JPM,SELL,-53,44.81530772972107
2015-01-06,KO,SELL,-66,29.650209653290176
2015-01-06,MCD,SELL,-44,69.46698100662232
2015-01-06,MMM,SELL,-17,93.47464737701416
2015-01-06,MRK,SELL,-103,39.19764251721565
2015-01-06,PG,SELL,-12,65.21145755004883
2015-01-06,TRV,SELL,-19,81.4373264579773
2015-01-06,WMT,SELL,-94,23.09792780808796
2015-01-06,CAT,BUY,68,65.41615272903442
2015-01-06,CRM,BUY,49,57.35699134254455
2015-01-06,CSCO,BUY,533,19.222998953819275
2015-01-06,GS,BUY,70,150.77368290710447
2015-01-06,INTC,BUY,27,27.59568677616119
2015-01-06,MSFT,BUY,30,39.42168997764587
2015-01-06,NKE,BUY,161,40.46701599884033
2015-01-06,UNH,BUY,20,82.48921441268921
2015-01-06,VZ,BUY,280,25.53202766990662
2015-01-07,AAPL,SELL,-11,23.610634176714214
2015-01-07,CSCO,SELL,-14,19.196693772315978
2015-01-07,CVX,SELL,-4,66.68595491790772
2015-01-07,DIS,SELL,-1,83.86350192360972
2015-01-07,HD,SELL,-2,78.2739133027232
2015-01-07,HON,SELL,-3,69.70292847772926
2015-01-07,JNJ,SELL,-14,76.02864073260552
2015-01-07,KO,SELL,-30,29.88887789027678
2015-01-07,MCD,SELL,-5,69.97645736465779
2015-01-07,MMM,SELL,-10,92.69324755113003
2015-01-07,MRK,SELL,-37,40.617508300542944
2015-01-07,UNH,SELL,-30,82.28164545194993
2015-01-07,WMT,SELL,-12,23.334857041627583
2015-01-07,AMGN,BUY,6,109.80606578063964
2015-01-07,AXP,BUY,4,75.34765255737304
2015-01-07,CAT,BUY,7,64.99524993896485
2015-01-07,CRM,BUY,16,56.40054640960693
2015-01-07,GS,BUY,6,147.7236051635742
2015-01-07,IBM,BUY,4,93.32067724227905
2015-01-07,INTC,BUY,20,27.081385946273798
2015-01-07,JPM,BUY,11,43.6969779510498
2015-01-07,MSFT,BUY,4,38.84309271812439
2015-01-07,NKE,BUY,7,40.22896673583984
2015-01-07,PG,BUY,17,64.97935759735107
2015-01-07,TRV,BUY,11,80.79105435562133
2015-01-07,VZ,BUY,61,25.789707638740538
2015-01-08,AMGN,SELL,-12,113.52744402694702
2015-01-08,AXP,SELL,-3,77.55130863524481
2015-01-08,CAT,SELL,-8,65.99199565733488
2015-01-08,GS,SELL,-7,151.42642313847304
2015-01-08,HD,SELL,-9,80.59138239349817
2015-01-08,INTC,SELL,-13,27.819732214704555
2015-01-08,JNJ,SELL,-3,77.44945796805249
2015-01-08,MCD,SELL,-2,70.87319923673078
2015-01-08,MRK,SELL,-7,41.62015955694494
2015-01-08,MSFT,SELL,-13,39.73366919060389
2015-01-08,UNH,SELL,-14,83.77888697217898
2015-01-08,WMT,SELL,-83,23.981018670884378
2015-01-08,CRM,BUY,20,56.13431915473937
2015-01-08,CSCO,BUY,29,19.393503856658935
2015-01-08,CVX,BUY,5,66.69705103683471
2015-01-08,IBM,BUY,5,92.71078382492065
2015-01-08,JPM,BUY,8,43.763646400451655
2015-01-08,KO,BUY,7,30.191764134407045
2015-01-08,NKE,BUY,43,41.059948425292966
2015-01-08,PG,BUY,8,65.32022618865966
2015-01-08,TRV,BUY,1,82.16835246276855
2015-01-08,VZ,BUY,109,25.623282686233516
2015-01-09,AAPL,SELL,-28,24.74670325279236
2015-01-09,CAT,SELL,-21,66.6122841911316
2015-01-09,CRM,SELL,-14,57.713377410888675
2015-01-09,GS,SELL,-13,152.1664476852417
2015-01-09,HD,SELL,-1,81.85500234222413
2015-01-09,INTC,SELL,-38,28.135566216468813
2015-01-09,MSFT,SELL,-34,40.45333499145508
2015-01-09,PG,SELL,-14,66.00114734649658
2015-01-09,TRV,SELL,-10,83.79048126220704
2015-01-09,AXP,BUY,1,78.08461605834961
2015-01-09,CSCO,BUY,205,19.542681572914123
2015-01-09,DIS,BUY,2,85.44506018829345
2015-01-09,HON,BUY,1,71.23178034210204
2015-01-09,JNJ,BUY,9,77.95714146423339
2015-01-09,KO,BUY,59,30.5569559469223
2015-01-09,MCD,BUY,6,70.8129182175253
2015-01-09,NKE,BUY,27,41.95650403659303
2015-01-09,UNH,BUY,1,87.03118047013837
2015-01-09,VZ,BUY,1,26.172473007202147
2015-01-12,CAT,SELL,-41,65.8163261680603
2015-01-12,CRM,SELL,-29,57.28980695343018
2015-01-12,CSCO,SELL,-39,19.75302195792759
2015-01-12,DIS,SELL,-2,85.77830978775025
2015-01-12,GS,SELL,-9,149.83126637268066
2015-01-12,IBM,SELL,-2,95.04334353256226
2015-01-12,NKE,SELL,-32,41.50315619277954
2015-01-12,PG,SELL,-41,65.38533602142334
2015-01-12,TRV,SELL,-5,82.73509338760377
2015-01-12,AXP,BUY,4,77.09553533935546
2015-01-12,CVX,BUY,6,66.3734658400939
2015-01-12,HD,BUY,15,80.531899269104
2015-01-12,HON,BUY,6,70.04933516693114
2015-01-12,INTC,BUY,1,28.217455558776855
2015-01-12,JNJ,BUY,4,76.89464453887939
2015-01-12,JPM,BUY,8,43.963678464889526
2015-01-12,KO,BUY,54,30.219848619461057
2015-01-12,MCD,BUY,4,70.27532395935059
2015-01-12,MMM,BUY,2,94.30333079910278
2015-01-12,MRK,BUY,11,42.11897605705261
2015-01-12,MSFT,BUY,8,40.15344758033752
2015-01-12,UNH,BUY,50,86.31738333892822
2015-01-12,VZ,BUY,26,25.93947692871094
2015-01-12,WMT,BUY,9,24.068439949035643
2015-01-13,AMGN,SELL,-2,112.07822545623782
2015-01-13,CSCO,SELL,-78,19.906370265960696
2015-01-13,DIS,SELL,-2,86.23096267977778
2015-01-13,HD,SELL,-10,80.09089307785035
2015-01-13,KO,SELL,-50,29.916024724006657
2015-01-13,MRK,SELL,-12,41.902008333206176
2015-01-13,UNH,SELL,-21,85.25840538024903
2015-01-13,VZ,SELL,-16,26.090890899658202
2015-01-13,WMT,SELL,-16,24.22468084049225
2015-01-13,AAPL,BUY,20,24.186985596656797
2015-01-13,AXP,BUY,3,76.31112385940551
2015-01-13,CAT,BUY,12,65.31093657302856
2015-01-13,CRM,BUY,18,56.923138813018795
2015-01-13,CVX,BUY,9,65.42417523193359
2015-01-13,GS,BUY,7,148.1558890686035
2015-01-13,IBM,BUY,3,93.54190291213989
2015-01-13,INTC,BUY,31,28.094627680778498
2015-01-13,JNJ,BUY,1,76.63084846115112
2015-01-13,JPM,BUY,3,43.58584224128723
2015-01-13,MSFT,BUY,1,39.65142667579651
2015-01-13,NKE,BUY,13,41.48841572570801
2015-01-13,PG,BUY,15,65.2114224243164
2015-01-13,TRV,BUY,7,82.32483325195312
2015-01-14,AAPL,SELL,-17,24.377348761558533
2015-01-14,AMGN,SELL,-2,111.30336741256714
