date,equity
2015-01-02,1000000.0
2015-01-05,986208.0852183062
2015-01-06,980072.3695143827
2015-01-07,992077.8615549809
2015-01-08,1009772.9923925931
2015-01-09,1001588.443490107
2015-01-12,996362.263681668
2015-01-13,995670.9732240263
2015-01-14,986950.7919858492
2015-01-15,978054.5223207693
2015-01-16,988748.2823996992
2015-01-20,989930.0104525734
2015-01-21,992056.7986699509
2015-01-22,1006439.139522862
2015-01-23,1000816.6183897477
2015-01-26,1001020.6370828027
2015-01-27,980429.4188429532
2015-01-28,971962.9415134225
2015-01-29,985285.5452797782
2015-01-30,965320.5860582704
2015-02-02,977104.0499574782
2015-02-03,990919.8569918372
2015-02-04,989518.9457796279
2015-02-05,998420.3100866196
2015-02-06,996203.6565606258
2015-02-09,991037.5891137692
2015-02-10,1002126.2137263947
2015-02-11,1002175.1368641714
2015-02-12,1010932.7753414818
2015-02-13,1014326.8784737538
2015-02-17,1015094.1333923226
2015-02-18,1016347.6755461436
2015-02-19,1013376.7436504158
2015-02-20,1021225.3060679836
2015-02-23,1020316.4269045279
2015-02-24,1025009.2024872566
2015-02-25,1025666.6554606966
2015-02-26,1032443.3890864352
2015-02-27,1027285.1146843964
2015-03-02,1034148.7645567347
2015-03-03,1029315.1353003032
2015-03-04,1022610.6086380647
2015-03-05,1024004.7473537584
2015-03-06,1008755.1208224514
2015-03-09,1015240.3590042376
2015-03-10,997783.0749182038
2015-03-11,995274.8555802011
2015-03-12,1006571.1306355278
2015-03-13,1000931.3698939848
2015-03-16,1015821.0918735382
2015-03-17,1012325.318481015
2015-03-18,1024644.6529129676
2015-03-19,1020815.3951826564
2015-03-20,1031046.8508148895
2015-03-23,1028979.3379811099
2015-03-24,1022973.8791214731
2015-03-25,1006243.1163996072
2015-03-26,1003910.4705671928
2015-03-27,1007493.5781756631
2015-03-30,1019934.4852556312
2015-03-31,1010619.5637258748
2015-04-01,1005890.1138664907
2015-04-02,1008615.8799753085
2015-04-06,1015327.4805071314
2015-04-07,1015101.4945326145
2015-04-08,1017767.7811045968
2015-04-09,1019966.0220215744
2015-04-10,1024973.8844160421
2015-04-13,1020840.4322569689
2015-04-14,1022918.1615665115
2015-04-15,1029393.4123911802
2015-04-16,1030773.4830197332
2015-04-17,1014772.6670295667
2015-04-20,1026576.8621178041
2015-04-21,1023388.8557625305
2015-04-22,1028098.2779139981
2015-04-23,1029979.8513428892
2015-04-24,1033495.8226501602
2015-04-27,1030211.6380308815
2015-04-28,1034713.4823911258
2015-04-29,1035602.9599059421
2015-04-30,1025729.6102216692
2015-05-01,1035769.2250488824
2015-05-04,1037069.63862234
2015-05-05,1030003.8114887855
2015-05-06,1026724.0377233961
2015-05-07,1030301.082489093
2015-05-08,1041600.8670569062
2015-05-11,1037602.8666270416
2015-05-12,1035164.99786429
2015-05-13,1037724.6896037636
2015-05-14,1048297.4190155815
2015-05-15,1050274.7252714937
2015-05-18,1052432.2891977197
2015-05-19,1050613.0110717486
2015-05-20,1049301.8689384714
2015-05-21,1051196.9758884672
2015-05-22,1049162.680053844
2015-05-26,1038332.851190092
2015-05-27,1045277.8136497947
2015-05-28,1042224.4521538129
2015-05-29,1037042.2559835768
2015-06-01,1037919.1219258824
2015-06-02,1035995.2880886244
2015-06-03,1038662.2699505425
2015-06-04,1029181.3084351706
2015-06-05,1025954.657477147
2015-06-08,1020425.2610476615
2015-06-09,1020332.3294514838
2015-06-10,1032916.2274350935
2015-06-11,1035123.3587073224
2015-06-12,1026898.6332885319
2015-06-15,1022546.2401715561
2015-06-16,1029165.6370591393
2015-06-17,1032145.0905891617
2015-06-18,1043290.9751924392
2015-06-19,1037967.9797035517
2015-06-22,1043022.9589219823
2015-06-23,1043374.6117409538
2015-06-24,1034887.0439795506
2015-06-25,1031175.2535302691
2015-06-26,1032641.6428752746
2015-06-29,1012512.2794227918
2015-06-30,1013092.7861697667
2015-07-01,1021405.721994452
2015-07-02,1020753.0758319052
2015-07-06,1017579.0409722177
2015-07-07,1023983.0013704919
2015-07-08,1010358.7984101361
2015-07-09,1010902.586008204
2015-07-10,1022411.0157149454
2015-07-13,1033835.2719477832
2015-07-14,1038993.7915901524
2015-07-15,1039204.5222454162
2015-07-16,1044715.3447472176
2015-07-17,1042826.1316746866
2015-07-20,1043503.3985557262
2015-07-21,1038045.9760229113
2015-07-22,1033772.6227306363
2015-07-23,1028305.3054945897
2015-07-24,1020009.637711272
2015-07-27,1014664.3921272832
2015-07-28,1026503.5948993064
2015-07-29,1033115.3592103206
2015-07-30,1032135.3197508936
2015-07-31,1032215.2988536557
2015-08-03,1028407.3123302464
2015-08-04,1026233.991445452
2015-08-05,1028650.8787524583
2015-08-06,1020674.5759896538
2015-08-07,1019653.758236776
2015-08-10,1032626.69861623
2015-08-11,1022542.4908901963
2015-08-12,1022926.757056031
2015-08-13,1023333.508621223
2015-08-14,1027650.6909590674
2015-08-17,1031519.2214323091
2015-08-18,1028274.3498438208
2015-08-19,1019506.9518681334
2015-08-20,997470.2712410816
2015-08-21,970065.1419318356
2015-08-24,936625.4280724738
2015-08-25,924264.2623300117
2015-08-26,960675.5222169498
2015-08-27,980635.7773419699
2015-08-28,981914.0536207918
2015-08-31,975826.0643568847
2015-09-01,949841.0311266861
2015-09-02,966986.8871809233
2015-09-03,967909.226391333
2015-09-04,952736.8848604457
2015-09-08,977220.1018266205
