date,equity
2015-01-02,1000000.0
2015-01-05,986209.3344090115
2015-01-06,980200.8500936008
2015-01-07,992462.01129017
2015-01-08,1010170.7252407157
2015-01-09,1001733.7715754211
2015-01-12,996204.8877724264
2015-01-13,995527.9834864556
2015-01-14,986821.6896779407
2015-01-15,978008.233951543
2015-01-16,988785.1420127719
2015-01-20,989638.3520244639
2015-01-21,991955.5656551013
2015-01-22,1006249.2530714456
2015-01-23,1005249.604741051
2015-01-26,1004692.9519997259
2015-01-27,984363.0435748376
2015-01-28,985859.6324539914
2015-01-29,985859.6324539914
2015-01-30,985859.6324539914
2015-02-02,996424.3616443806
2015-02-03,1010054.4358085556
2015-02-04,1009270.4122729807
2015-02-05,1008905.7408938605
2015-02-06,1005130.2105750683
2015-02-09,999901.417240913
2015-02-10,1010907.6414748752
2015-02-11,1011191.5738807893
2015-02-12,1018816.8733982019
2015-02-13,1017804.2675977437
2015-02-17,1017728.52027841
2015-02-18,1018912.7292927804
2015-02-19,1015680.2949433273
2015-02-20,1023290.9689442638
2015-02-23,1022472.9781746784
2015-02-24,1027214.8535112207
2015-02-25,1027632.5515228919
2015-02-26,1033286.5624232872
2015-02-27,1031840.188659092
2015-03-02,1037672.6576738274
2015-03-03,1033139.3791259541
2015-03-04,1026532.0354046215
2015-03-05,1027900.885891997
2015-03-06,1012697.9198322757
2015-03-09,1019293.9391626021
2015-03-10,1001871.806291922
2015-03-11,999221.8002187688
2015-03-12,1010566.6759195441
2015-03-13,1004937.9574774038
2015-03-16,1019818.5782600571
2015-03-17,1016347.384176963
2015-03-18,1028636.05935224
2015-03-19,1024515.2504303543
2015-03-20,1034847.3912480081
2015-03-23,1032785.7393515985
2015-03-24,1026931.9525524569
2015-03-25,1010142.2704967704
2015-03-26,1007905.7428996312
2015-03-27,1011784.5456558065
2015-03-30,1024136.8421925055
2015-03-31,1014698.1186730252
2015-04-01,1009758.4389671845
2015-04-02,1012577.379853028
2015-04-06,1019245.0184210464
2015-04-07,1018959.6547064916
2015-04-08,1021532.694534565
2015-04-09,1023800.8640890864
2015-04-10,1028759.1247404385
2015-04-13,1024616.1382330938
2015-04-14,1026778.8458428773
2015-04-15,1033063.0179656043
2015-04-16,1034321.5765962373
2015-04-17,1018135.856023258
2015-04-20,1029820.0966463323
2015-04-21,1026423.9689973245
2015-04-22,1031193.6090928775
2015-04-23,1032840.8224982313
2015-04-24,1033423.9434435196
2015-04-27,1033423.9434435196
2015-04-28,1036883.7537462316
2015-04-29,1036305.8786027852
2015-04-30,1026646.7519722817
2015-05-01,1036788.3007145227
2015-05-04,1038413.9613952767
2015-05-05,1031107.4580383801
2015-05-06,1027756.8028479647
2015-05-07,1031239.6283278115
2015-05-08,1042972.3677377182
2015-05-11,1038796.0363933386
2015-05-12,1036450.5832117122
2015-05-13,1039152.900482191
2015-05-14,1049919.8538137039
2015-05-15,1051908.6376808279
2015-05-18,1053875.6239953758
2015-05-19,1052347.235297835
2015-05-20,1051103.394656213
2015-05-21,1052600.8414554475
2015-05-22,1050202.733800392
2015-05-26,1039219.2374445839
2015-05-27,1046283.9173184292
2015-05-28,1043472.6297086312
2015-05-29,1038248.267427462
2015-06-01,1039143.0566836785
2015-06-02,1037194.0708459488
2015-06-03,1039913.9849191168
2015-06-04,1030429.0734581093
2015-06-05,1027006.0639970109
2015-06-08,1021512.179750597
2015-06-09,1021386.4190346224
2015-06-10,1033807.7355336471
2015-06-11,1036141.5216408701
2015-06-12,1027808.0160705374
2015-06-15,1023447.0731726743
2015-06-16,1030122.9151751067
2015-06-17,1033115.8234576209
2015-06-18,1044222.4591133671
2015-06-19,1038919.6798676478
2015-06-22,1044005.5306800274
2015-06-23,1044221.0463856414
2015-06-24,1035870.0009968698
2015-06-25,1032156.2349313883
2015-06-26,1033490.0789014318
2015-06-29,1013540.2866958324
2015-06-30,1014235.1032164389
2015-07-01,1022801.084247005
2015-07-02,1022019.9848108876
2015-07-06,1019173.8459912218
2015-07-07,1025536.0675991004
2015-07-08,1011872.7755167206
2015-07-09,1012605.2287642307
2015-07-10,1024029.1525902338
2015-07-13,1035462.4489636971
2015-07-14,1040548.1915760958
2015-07-15,1040681.8188602986
2015-07-16,1046099.8716608696
2015-07-17,1044312.2091885542
2015-07-20,1044929.9735831062
2015-07-21,1039562.2033554651
2015-07-22,1035373.887440194
2015-07-23,1029755.932305715
2015-07-24,1021013.252838609
2015-07-27,1015760.5864487981
2015-07-28,1027665.6936966237
2015-07-29,1034205.6146363232
2015-07-30,1032954.9571915105
2015-07-31,1032812.3431058289
2015-08-03,1028940.550718767
2015-08-04,1026715.6449778711
2015-08-05,1028969.9044282758
2015-08-06,1027503.6809865963
2015-08-07,1025476.4015586938
2015-08-10,1038519.8929810481
2015-08-11,1027953.8103160063
2015-08-12,1028569.3191016783
2015-08-13,1028692.0657723091
2015-08-14,1032880.1851254245
2015-08-17,1036720.1134702689
2015-08-18,1033553.6506168313
2015-08-19,1024397.0975184691
2015-08-20,1002529.5212200001
2015-08-21,974623.897000906
2015-08-24,941029.071756792
2015-08-25,928713.826890001
2015-08-26,965163.9253475695
2015-08-27,984685.9976059292
2015-08-28,985589.1354464202
2015-08-31,979136.3874783672
2015-09-01,953294.9619733874
2015-09-02,970482.0127140112
2015-09-03,971426.6668172653
2015-09-04,956310.7320537318
2015-09-08,980777.3435478258
2015-09-09,966567.328835167
2015-09-10,971204.4861114123
2015-09-11,976047.4392833232
2015-09-14,972727.0267989867
2015-09-15,986135.9814218112
2015-09-16,992955.6375102228
2015-09-17,990079.5605829989
2015-09-18,973871.5325978743
2015-09-21,978626.434298181
2015-09-22,969312.4518976548
2015-09-23,966789.7648988528
2015-09-24,962019.0247978762
2015-09-25,966784.0018207249
2015-09-28,965406.7723436422
2015-09-29,966601.4998126064
2015-09-30,981361.1368469096
2015-10-01,981722.4649612135
2015-10-02,993020.8343020489
2015-10-05,1010986.5478843582
2015-10-06,1010104.69365142
2015-10-07,1018818.3628047206
2015-10-08,1027091.1217983644
2015-10-09,1027961.6578211609
2015-10-12,1030969.6836300024
2015-10-13,1026364.4138385932
2015-10-14,1017228.1175546986
2015-10-15,1017394.8384754685
2015-10-16,1019174.2162509417
2015-10-19,1020636.6696392532
2015-10-20,1019704.102858405
2015-10-21,1018528.1589526811
2015-10-22,1037169.5894011197
2015-10-23,1040724.7990411649
2015-10-26,1040724.7990411649
2015-10-27,1038245.4334999004
2015-10-28,1048555.5205538098
2015-10-29,1046346.5608090216
2015-10-30,1041195.8402759621
2015-11-02,1050972.5702553836
2015-11-03,1053780.493997658
2015-11-04,1051461.646939569
2015-11-05,1051044.8529547548
2015-11-06,1052810.3610478775
2015-11-09,1042635.1495032159
2015-11-10,1043204.8898784438
2015-11-11,1039918.0752371013
2015-11-12,1025352.5768687951
2015-11-13,1013262.7054378836
2015-11-16,1027611.1461347131
2015-11-17,1030325.5307104323
2015-11-18,1044975.7797576406
2015-11-19,1048654.6191289779
2015-11-20,1053341.7185092822
2015-11-23,1052266.0271254089
2015-11-24,1051834.1809642133
2015-11-25,1052276.2797386087
2015-11-27,1052153.216054308
2015-11-30,1048123.3942696007
2015-12-01,1057757.4763509862
2015-12-02,1050389.3061967117
2015-12-03,1035942.3880164897
2015-12-04,1058242.0853874562
2015-12-07,1052835.433706011
2015-12-08,1045227.832267125
2015-12-09,1037073.7338717104
2015-12-10,1041801.8485647616
2015-12-11,1024296.8382893945
2015-12-14,1032212.1931828225
2015-12-15,1042010.4610580159
2015-12-16,1042334.9471018073
2015-12-17,1026238.6631099588
2015-12-18,1007299.0763613138
2015-12-21,1014086.47224668
2015-12-22,1024638.254145135
2015-12-23,1034024.2916456002
2015-12-24,1031155.3077177665
2015-12-28,1029662.3338715888
2015-12-29,1040597.7158241033
2015-12-30,1034077.4551085599
2015-12-31,1023784.9801778788
2016-01-04,1009585.8522565631
2016-01-05,1010516.2249687829
2016-01-06,997981.4407883044
2016-01-07,976146.1005328074
2016-01-08,966433.9629220607
2016-01-11,969332.9324161235
2016-01-12,977178.3165145693
2016-01-13,955964.923496747
2016-01-14,970302.5266155108
2016-01-15,948436.2111057058
2016-01-19,951081.6717518276
2016-01-20,940293.2278129499
2016-01-21,944995.4432234769
2016-01-22,957101.6567728017
2016-01-25,955737.2429791291
2016-01-26,968707.5855473368
2016-01-27,967342.3128847493
2016-01-28,967342.3128847493
2016-01-29,990776.0462219077
2016-02-01,991086.6019236667
2016-02-02,970842.2257303267
2016-02-03,978813.858469646
2016-02-04,982744.3985774794
2016-02-05,965484.4202185647
2016-02-08,964110.066499598
2016-02-09,964110.066499598
2016-02-10,959994.500659655
2016-02-11,951411.1981156863
2016-02-12,953400.2693803617
2016-02-16,953400.2693803617
2016-02-17,968555.6008117185
2016-02-18,965321.4027807213
2016-02-19,964956.1936252362
2016-02-22,975269.1187369813
2016-02-23,964005.3740385677
2016-02-24,966218.0723784112
2016-02-25,978946.4789261061
2016-02-26,975408.3928662393
2016-02-29,967244.8330180817
2016-03-01,990536.1101385949
2016-03-02,993023.9097752806
2016-03-03,995793.7957538508
2016-03-04,998370.1591784083
2016-03-07,1001513.5119775084
2016-03-08,997152.2767750967
2016-03-09,1000759.6166083755
2016-03-10,1000805.1273645504
2016-03-11,1013144.1672459141
2016-03-14,1013861.2684575556
2016-03-15,1014894.9208266409
2016-03-16,1019747.5032891623
2016-03-17,1027213.0615497903
2016-03-18,1033237.2750812809
2016-03-21,1035293.09541044
2016-03-22,1035132.005945677
2016-03-23,1028172.1205844289
2016-03-24,1029207.7815551324
2016-03-28,1028877.5061883244
2016-03-29,1035159.3294168153
2016-03-30,1040337.7103926613
2016-03-31,1039003.450973292
2016-04-01,1046813.8397366655
2016-04-04,1043352.4682101845
2016-04-05,1034976.3634046223
2016-04-06,1043715.918007306
2016-04-07,1032540.5979832886
2016-04-08,1033888.4458702671
2016-04-11,1031444.7159069935
2016-04-12,1040466.6075550447
2016-04-13,1051812.0492945982
2016-04-14,1052183.1889352603
2016-04-15,1050460.1153137058
2016-04-18,1057235.9975859437
2016-04-19,1060481.5880502574
2016-04-20,1060776.0723045357
2016-04-21,1059860.1086988987
2016-04-22,1059860.1086988987
2016-04-25,1058076.0580215964
2016-04-26,1058248.1353708957
2016-04-27,1059837.0080587028
2016-04-28,1048517.0419502703
2016-04-29,1043550.248516323
2016-05-02,1050349.79758243
2016-05-03,1041766.124875768
2016-05-04,1035544.3750279356
2016-05-05,1035389.0716359423
2016-05-06,1039933.0395721371
2016-05-09,1038604.9145509093
2016-05-10,1050846.521366308
2016-05-11,1040116.6825974389
2016-05-12,1040119.1827099774
2016-05-13,1031942.13017525
2016-05-16,1041679.4257900587
2016-05-17,1031635.3558332473
2016-05-18,1032115.4093246125
2016-05-19,1030872.250111525
2016-05-20,1030941.6367698236
2016-05-23,1028140.4280667256
2016-05-24,1041541.8689054433
2016-05-25,1050697.1597362454
2016-05-26,1050054.2419643854
2016-05-27,1053063.0033950557
2016-05-31,1050873.6906497173
2016-06-01,1050121.2914893534
2016-06-02,1053397.9481202695
2016-06-03,1051129.385684656
2016-06-06,1057035.6661982297
2016-06-07,1057366.3878466312
2016-06-08,1060653.8951070285
2016-06-09,1059944.0989872338
2016-06-10,1054276.832066813
2016-06-13,1046774.6085654779
2016-06-14,1043399.5269527981
2016-06-15,1041580.1044704051
2016-06-16,1046047.5947226227
2016-06-17,1042392.4810075038
2016-06-20,1048949.767550915
2016-06-21,1051020.057966149
2016-06-22,1048444.5464547853
2016-06-23,1061474.6968681014
2016-06-24,1026191.3702278279
2016-06-27,1010868.2301598286
2016-06-28,1026725.2475450787
2016-06-29,1043038.736934019
2016-06-30,1057051.2475885386
2016-07-01,1059088.3462683412
2016-07-05,1053389.353742469
2016-07-06,1059720.9182592572
2016-07-07,1058954.8598264211
