,PPO,MinVariance,DJIA
2015-01-02,1000000.0,1000000.0,1000000.0
2015-01-05,994410.9697115318,999014.2571634285,981419.8382102343
2015-01-06,995075.9226193234,1000963.0893871081,974129.4307173622
2015-01-07,1001541.1496213502,1003308.602294957,986066.7953125413
2015-01-08,1008073.8890481939,1004604.9041494732,1004198.8979563093
2015-01-09,1007910.3537100727,1005178.8966085303,994637.9663481405
2015-01-12,1005099.8094194097,1005230.0759467128,989225.0044384251
2015-01-13,1004287.349091451,1004573.197772793,987701.9757206923
2015-01-14,1004568.2518297228,1004498.6268917017,977238.7925249584
2015-01-15,1006609.9314888703,1007706.1418944588,971273.5054445594
2015-01-16,1014443.11338813,1007881.7082364166,981976.1062137842
2015-01-20,1017620.2209449032,1010887.2253501187,982181.3525691007
2015-01-21,1022043.7233917452,1010645.6421554706,984371.0486106388
2015-01-22,1031168.2172051925,1013742.0989958445,998934.0113253493
2015-01-23,1029720.5653131045,1014863.4993235003,991005.960139493
2015-01-26,1030991.7399727284,1014514.6794426695,991348.0008906422
2015-01-27,1027926.7095116236,1013435.4219170159,975002.5491509712
2015-01-28,1020796.7615778924,1013116.7180196864,964020.554863917
2015-01-29,1020203.3502090148,1012528.0176913511,976664.56272724
2015-01-30,1018560.3281388689,1015346.8534344656,962539.0354144153
2015-02-02,1024970.4942049567,1018566.0693379425,973534.9391396366
2015-02-03,1029687.175504197,1017184.1593266444,990658.33370845
2015-02-04,1027020.2864099827,1016730.6567176802,991029.5076135554
2015-02-05,1031343.4506495651,1016923.4844277408,1002909.8106553087
2015-02-06,1018645.1175233813,1009568.3775132297,999512.0744327989
2015-02-09,1017225.9272694146,1008822.6825092045,994180.4882125178
2015-02-10,1018158.3016128759,1008708.9225198294,1002005.8066975807
2015-02-11,1015623.283362062,1008319.9524664421,1001634.6327924752
2015-02-12,1023386.9855534721,1011235.8311666664,1007816.4471111137
2015-02-13,1026325.8070148644,1009923.7766528656,1010450.2594657834
2015-02-17,1022126.2241788289,1006363.8534891264,1012033.3068615916
2015-02-18,1023482.3637974965,1007973.2834897337,1011039.05584048
2015-02-19,1019044.0471132725,1006255.1603118673,1008567.228202733
2015-02-20,1021747.5191859487,1007964.7588074419,1017240.4748003148
2015-02-23,1023128.6656713043,1009918.0644389461,1015917.1067580046
2015-02-24,1025546.8089319824,1014950.0329150021,1021095.6891584473
2015-02-25,1026532.7196038518,1015535.3500549447,1021958.1838479441
2015-02-26,1021492.9634709848,1011417.0241779081,1021388.9921144439
2015-02-27,1022516.815318447,1012556.8800492799,1016806.4346156191
2015-03-02,1020045.817662566,1008269.8554915074,1025550.4331585234
2015-03-03,1017761.0003770998,1006897.574586661,1020769.3102156281
2015-03-04,1013842.2766193607,1005334.3377083814,1014798.9850710111
2015-03-05,1013761.9462945933,1006032.6559953804,1016975.8669057338
2015-03-06,996294.7466708876,995380.69085147,1001333.9917864219
