date,ticker,side,quantity,price
2015-01-05,AAPL,BUY,1454,24.042140275104355
2015-01-05,AMGN,BUY,306,114.56048534536565
2015-01-05,AXP,BUY,445,78.83630587908294
2015-01-05,BA,BUY,309,113.63097359060087
2015-01-05,CAT,BUY,509,67.93027481144107
2015-01-05,CRM,BUY,602,58.382852521744205
2015-01-05,CSCO,BUY,1794,19.490316211438937
2015-01-05,CVX,BUY,510,68.053759611552
2015-01-05,DIS,BUY,412,85.0017079897725
2015-01-05,GS,BUY,226,155.25911264174897
2015-01-05,HD,BUY,443,78.87245606200712
2015-01-05,HON,BUY,496,70.70079625444846
2015-01-05,IBM,BUY,363,96.38180780266468
2015-01-05,INTC,BUY,1261,27.910405900955197
2015-01-05,JNJ,BUY,459,76.5868964424133
2015-01-05,JPM,BUY,760,46.11880809652817
2015-01-05,KO,BUY,1189,29.59480519008636
2015-01-05,MCD,BUY,500,70.31300911331176
2015-01-05,MMM,BUY,367,95.43427143386982
2015-01-05,MRK,BUY,914,38.50357902145385
2015-01-05,MSFT,BUY,884,39.74218409579739
2015-01-05,NKE,BUY,855,40.90101695575572
2015-01-05,PG,BUY,536,65.58854875946045
2015-01-05,TRV,BUY,426,82.31501971295334
2015-01-05,UNH,BUY,419,83.55424056167021
2015-01-05,VZ,BUY,1367,25.745839585304264
2015-01-05,WMT,BUY,1521,23.139110083580015
2015-01-06,AAPL,SELL,-15,23.499310903549194
2015-01-06,AXP,SELL,-8,76.91146857070923
2015-01-06,BA,SELL,-11,112.81362112426758
2015-01-06,CRM,SELL,-6,57.29966682815552
2015-01-06,CSCO,SELL,-45,19.20379699993134
2015-01-06,CVX,SELL,-1,66.11126834487915
2015-01-06,DIS,SELL,-12,84.07639475250245
2015-01-06,HD,SELL,-10,77.66717115783692
2015-01-06,IBM,SELL,-10,95.28229107666016
2015-01-06,JNJ,SELL,-16,75.97598531341553
2015-01-06,JPM,SELL,-10,44.81531154251099
2015-01-06,KO,SELL,-52,29.65021914062074
2015-01-06,MCD,SELL,-16,69.46697338104248
2015-01-06,MMM,SELL,-7,93.47462450027466
2015-01-06,MRK,SELL,-53,39.19763146585016
2015-01-06,MSFT,SELL,-31,39.38229942703247
2015-01-06,NKE,SELL,-24,40.42657683181763
2015-01-06,AMGN,BUY,2,113.46153334808349
2015-01-06,CAT,BUY,42,65.41614509582519
2015-01-06,GS,BUY,18,150.77366764068603
2015-01-06,HON,BUY,46,69.61739475631714
2015-01-06,INTC,BUY,108,27.59568677616119
2015-01-06,PG,BUY,52,65.27668636322021
2015-01-06,TRV,BUY,6,81.51884268951416
2015-01-06,UNH,BUY,3,82.48917624664305
2015-01-06,VZ,BUY,19,25.532023853301997
2015-01-06,WMT,BUY,105,23.07176418685913
2015-01-07,CSCO,SELL,-14,19.19669186592102
2015-01-07,CVX,SELL,-5,66.08072027206421
2015-01-07,DIS,SELL,-1,83.86350192360972
2015-01-07,HD,SELL,-2,78.27387603626333
2015-01-07,JNJ,SELL,-2,76.02861822386795
2015-01-07,KO,SELL,-19,29.88887977943484
2015-01-07,MCD,SELL,-5,69.97644229252579
2015-01-07,MRK,SELL,-40,40.61750082594066
2015-01-07,NKE,SELL,-2,40.27375350374433
2015-01-07,TRV,SELL,-7,81.07133007052832
2015-01-07,UNH,SELL,-2,82.28165300423342
2015-01-07,VZ,SELL,-37,25.763934632301332
2015-01-07,WMT,SELL,-4,23.33485331002701
2015-01-07,AAPL,BUY,1,23.52502987575531
2015-01-07,AMGN,BUY,8,109.80608868026732
2015-01-07,AXP,BUY,5,75.34763729095458
2015-01-07,CAT,BUY,9,64.99523467254639
2015-01-07,CRM,BUY,3,56.40054640960693
2015-01-07,GS,BUY,1,147.72363569641112
