date,equity
2015-01-02,1000000.0
2015-01-05,996125.4586838934
2015-01-06,996530.0723120332
2015-01-07,1002689.7479790141
2015-01-08,1008822.2470844154
2015-01-09,1008628.2376777502
2015-01-12,1005929.9499737516
2015-01-13,1005163.2193218822
2015-01-14,1005424.4790915973
2015-01-15,1007376.9983441093
2015-01-16,1014764.6020721522
2015-01-20,1017702.6528753728
2015-01-21,1021919.0765718464
2015-01-22,1030621.6747425329
2015-01-23,1029221.1120403705
2015-01-26,1030411.4790627813
2015-01-27,1027524.6825019665
2015-01-28,1020751.1318300029
2015-01-29,1020131.338015835
2015-01-30,1018512.3187252342
2015-02-02,1024598.686027471
2015-02-03,1029132.1966108448
2015-02-04,1026475.7887731305
2015-02-05,1030580.8731419778
2015-02-06,1018482.2288108148
2015-02-09,1017151.5117205096
2015-02-10,1017990.2062179592
2015-02-11,1015553.8399459632
2015-02-12,1022918.1699073137
2015-02-13,1025663.8421983608
2015-02-17,1021712.2730675924
2015-02-18,1022980.7727662493
2015-02-19,1018763.2542920165
2015-02-20,1021316.4621539286
2015-02-23,1022648.4948365997
2015-02-24,1024946.1082153651
2015-02-25,1025859.6454738798
2015-02-26,1021076.5235746243
2015-02-27,1022018.1284554064
2015-03-02,1019642.2976551672
2015-03-03,1017469.5275764257
2015-03-04,1013755.5033122336
2015-03-05,1013657.9696594679
2015-03-06,997085.0461194897
2015-03-09,999274.6384618717
2015-03-10,993039.1656757211
2015-03-11,994226.4014269247
2015-03-12,998406.6343527667
2015-03-13,995059.7202119669
2015-03-16,1002782.9325262295
2015-03-17,1003773.5223555054
2015-03-18,1019747.9493108508
2015-03-19,1014261.9822182375
2015-03-20,1024317.6836405211
2015-03-23,1024628.2502490304
2015-03-24,1023508.355952841
2015-03-25,1016166.5856044422
2015-03-26,1012087.1769276197
2015-03-27,1013720.4800438723
2015-03-30,1020997.9026656918
2015-03-31,1017499.4026035113
2015-04-01,1021191.7613346423
2015-04-02,1022757.111748012
2015-04-06,1029807.572161871
2015-04-07,1027226.1935013231
2015-04-08,1029273.8760546064
