,Benchmark,Strategy
Start Period,2015-01-06,2015-01-06
End Period,2021-10-29,2021-10-29
Risk-Free Rate,0,0
Time in Market,1.0,1.0
Cumulative Return,1.05,0.86
CAGR﹪,0.11,0.1
Sharpe,0.66,1.06
Prob. Sharpe Ratio,0.95,1.0
Smart Sharpe,0.64,1.04
Sortino,0.91,1.55
Smart Sortino,0.89,1.52
Sortino/√2,0.64,1.1
Smart Sortino/√2,0.63,1.08
Omega,1.15,1.21
Max Drawdown,-0.37,-0.12
Max DD Date,2020-03-23,2016-01-20
Max DD Period Start,2020-02-13,2015-04-28
Max DD Period End,2020-11-13,2016-04-18
Longest DD Days,419,411
Volatility (ann.),0.19,0.09
R^2,0.47,0.47
Information Ratio,-0.01,-0.01
Calmar,0.3,0.79
Skew,-0.65,-0.1
Kurtosis,23.58,3.68
Ulcer Performance Index,16.68,25.77
Risk-Adjusted Return,0.11,0.1
Risk-Return Ratio,0.04,0.07
Avg. Return,0,0
Avg. Win,0.01,0
Avg. Loss,-0.01,0
Win/Loss Ratio,0.91,0.96
Profit Ratio,0.79,0.8
Expected Daily,0,0
Expected Monthly,0.01,0.01
Expected Yearly,0.11,0.09
Kelly Criterion,0.05,0.08
Risk of Ruin,0,0
Daily Value-at-Risk,-0.02,-0.01
Expected Shortfall (cVaR),-0.03,-0.01
Max Consecutive Wins,12.0,13.0
Max Consecutive Losses,8.0,9.0
Gain/Pain Ratio,0.15,0.21
Gain/Pain (1M),0.95,1.5
Payoff Ratio,0.91,0.96
Profit Factor,1.15,1.21
Common Sense Ratio,1.04,1.28
CPC Index,0.57,0.64
Tail Ratio,0.91,1.06
Outlier Win Ratio,4.01,3.88
Outlier Loss Ratio,4.3,3.83
MTD,0.06,0.04
3M,0.03,0.02
6M,0.06,0.05
YTD,0.17,0.11
1Y,0.35,0.23
3Y (ann.),0.13,0.17
5Y (ann.),0.14,0.12
10Y (ann.),0.11,0.1
All-time (ann.),0.11,0.1
Best Day,0.11,0.04
Worst Day,-0.13,-0.03
Best Month,0.12,0.1
Worst Month,-0.14,-0.05
Best Year,0.25,0.22
Worst Year,-0.06,-0.06
Avg. Drawdown,-0.02,-0.01
Avg. Drawdown Days,26,20
Recovery Factor,2.25,5.36
Ulcer Index,0.06,0.03
Serenity Index,0.88,1.38
Avg. Up Month,0.03,0.02
Avg. Down Month,-0.04,-0.02
Win Days,0.55,0.55
Win Month,0.68,0.7
Win Quarter,0.79,0.75
Win Year,0.71,0.71
Beta,-,0.33
Alpha,-,0.05
Correlation,-,0.69%
Treynor Ratio,-,2.62%
