,A2C,MinVariance,DJIA
2020-07-01,1000000.0,1000000.0,1000000.0
2020-07-02,1003681.3722791418,1004237.630254246,1003590.0049368924
2020-07-06,1019637.3915698875,1013513.1161051412,1021451.6892254695
2020-07-07,1005594.9862501235,1012906.3681425664,1006031.0534706049
2020-07-08,1012345.7219832819,1012221.1905576357,1012912.7247737511
2020-07-09,1000018.7436251477,1004829.8673695604,998877.7582182562
2020-07-10,1014356.6296687454,1012121.4317500358,1013224.4206551077
2020-07-13,1012611.0764007703,1012098.5465929646,1013632.4257824935
2020-07-14,1031762.1711302861,1028570.6608229864,1035267.9298179572
2020-07-15,1040202.0810683306,1031727.0885985767,1044108.4203803721
2020-07-16,1036506.1870861185,1033211.3497673677,1038847.5373027568
2020-07-17,1036290.893707336,1038325.0335542962,1036408.7655833712
2020-07-20,1036063.0470505361,1036110.9939192961,1036755.3726177408
2020-07-21,1043494.3529872332,1038556.2726054447,1042954.3790918622
2020-07-22,1048494.1017404874,1046043.1563427276,1049382.9643439492
2020-07-23,1038106.9959140259,1041134.589730225,1035646.4122529039
2020-07-24,1027492.9540566374,1039905.0489986708,1028557.2472707636
2020-07-27,1031019.2800100195,1048284.677647852,1033021.1694401428
2020-07-28,1023994.5193890323,1043350.6044413492,1025036.3057017882
2020-07-29,1029059.4125921852,1041447.3805613999,1031264.8348683489
2020-07-30,1019854.6774275721,1037271.5987627257,1022486.1218680048
2020-07-31,1022167.0536808264,1035708.4882811888,1026941.9233996178
2020-08-03,1030285.9528649002,1041503.8955489446,1036115.4360042515
2020-08-04,1034326.7508598475,1046828.7885795487,1042490.8196948993
2020-08-05,1048947.4497161899,1050332.204238074,1056986.6134701648
2020-08-06,1054430.7070455502,1052916.1269703507,1064193.1861777639
2020-08-07,1058193.1409545809,1057704.3479526036,1066000.0660276155
2020-08-10,1070917.075007932,1060997.3357415926,1079909.5042198857
2020-08-11,1067766.412029973,1055869.780500411,1075847.7433544532
2020-08-12,1077625.2308725717,1069031.0444041104,1087113.7242193467
