date,equity
2020-07-01,1000000.0
2020-07-02,989863.8035165846
2020-07-06,1005859.4953996716
2020-07-07,989455.3787958204
2020-07-08,996887.3713457165
2020-07-09,983816.2291757643
2020-07-10,997152.8009874402
2020-07-13,995525.0397913037
2020-07-14,1013672.6837068979
2020-07-15,1022192.5209000407
2020-07-16,1018410.1443991011
2020-07-17,1018319.7609903261
2020-07-20,1018118.6008035585
2020-07-21,1025136.9837701559
2020-07-22,1029835.0939567793
2020-07-23,1019861.8150514996
2020-07-24,1009592.4206055341
2020-07-27,1013242.5956658063
2020-07-28,1006075.730027523
2020-07-29,1011280.838688154
2020-07-30,1002342.5348971079
2020-07-31,1004885.0471610036
2020-08-03,1012997.7857066923
2020-08-04,1016326.5947693101
2020-08-05,1031174.6241000018
2020-08-06,1036499.2214922997
2020-08-07,1040091.8164401146
2020-08-10,1052582.8987879844
2020-08-11,1049615.706917082
2020-08-12,1059071.077178346
2020-08-13,1053943.4344520993
2020-08-14,1055039.8552888592
2020-08-17,1051245.8642538053
2020-08-18,1050551.1015980172
2020-08-19,1047255.4203083443
2020-08-20,1048011.7202389168
2020-08-21,1052141.9658256453
2020-08-24,1065736.593286125
2020-08-25,1068316.09561964
2020-08-26,1080957.3974270436
2020-08-27,1089205.9243371983
2020-08-28,1095357.8355844514
2020-08-31,1089044.817150769
2020-09-01,1097244.9814909648
2020-09-02,1115536.9501347893
2020-09-03,1086289.158237004
2020-09-04,1083281.578933622
2020-09-08,1059619.5290946022
2020-09-09,1074948.1030119911
2020-09-10,1060054.7894133583
2020-09-11,1067074.0108031288
2020-09-14,1078614.268436338
2020-09-15,1076959.7190627113
2020-09-16,1078743.218765165
2020-09-17,1072957.5435141579
2020-09-18,1063096.7690390602
2020-09-21,1044357.7016310769
2020-09-22,1050197.598048485
2020-09-23,1034106.9490387803
2020-09-24,1035380.8760369187
2020-09-25,1047580.9966247644
2020-09-28,1063228.8030469266
2020-09-29,1057724.0889026206
2020-09-30,1068507.1325542014
2020-10-01,1068537.4484156442
2020-10-02,1063394.137681849
2020-10-05,1080136.6835619523
2020-10-06,1067062.9374779693
2020-10-07,1086610.0794724457
2020-10-08,1095312.3640017735
2020-10-09,1099969.0970530736
2020-10-12,1110649.5324227116
2020-10-13,1103270.5222739226
2020-10-14,1097502.0299660116
2020-10-15,1097572.5535437448
2020-10-16,1100566.3378302439
2020-10-19,1085212.5106255459
2020-10-20,1088892.48820657
2020-10-21,1086020.652477628
2020-10-22,1094410.923923856
2020-10-23,1090310.338150388
2020-10-26,1066679.2560026927
2020-10-27,1057484.8924525066
2020-10-28,1022392.9661190424
2020-10-29,1028943.6542045984
2020-10-30,1023245.9977047357
2020-11-02,1038360.4064953241
2020-11-03,1057824.4374458704
2020-11-04,1067818.7692902002
2020-11-05,1087909.5519205185
2020-11-06,1085495.6859682356
2020-11-09,1123548.917981938
2020-11-10,1133871.7108217077
2020-11-11,1133422.7709031897
2020-11-12,1121343.3384557443
2020-11-13,1139040.089786283
2020-11-16,1158099.6385716517
2020-11-17,1153711.8885189982
2020-11-18,1140512.3283064903
2020-11-19,1143474.2263135922
2020-11-20,1137018.7984609616
2020-11-23,1149908.858069421
2020-11-24,1169410.8908720028
2020-11-25,1163228.3904867184
2020-11-27,1163365.2951269161
2020-11-30,1155480.2883977902
2020-12-01,1165082.421099664
2020-12-02,1171177.6241292965
2020-12-03,1175260.2586088192
2020-12-04,1185483.215086938
2020-12-07,1179456.453635217
2020-12-08,1184109.9710912716
2020-12-09,1180678.965807916
2020-12-10,1178855.164885522
2020-12-11,1182470.5057783138
2020-12-14,1173019.99291134
2020-12-15,1188645.3731756222
2020-12-16,1186052.7786550533
2020-12-17,1190564.711043359
2020-12-18,1183426.697710992
2020-12-21,1185188.6674222958
2020-12-22,1178896.5746793759
2020-12-23,1183726.007928605
2020-12-24,1186310.2923719543
2020-12-28,1194975.551723625
2020-12-29,1192813.1860560193
2020-12-30,1194091.5504206433
2020-12-31,1201751.2327860608
2021-01-04,1185813.4982393994
2021-01-05,1193592.607656361
2021-01-06,1209129.3706568494
2021-01-07,1218218.1135004773
2021-01-08,1219990.896406056
2021-01-11,1216700.7379282727
2021-01-12,1219750.7512644543
2021-01-13,1220793.4319819226
2021-01-14,1221319.1357859387
2021-01-15,1212761.7383250012
2021-01-19,1217605.079267384
2021-01-20,1227640.221354723
2021-01-21,1229330.1600304625
2021-01-22,1218013.7973878337
2021-01-25,1217204.184015031
2021-01-26,1214857.443906541
2021-01-27,1191284.0483567668
2021-01-28,1202929.5435203142
2021-01-29,1179245.7698742982
2021-02-01,1188883.160628998
2021-02-02,1206424.660579407
2021-02-03,1206903.3013833165
2021-02-04,1220772.7663682103
2021-02-05,1226533.7608852924
2021-02-08,1236690.5116300953
2021-02-09,1235140.5729176186
2021-02-10,1235744.9995587892
2021-02-11,1237084.4227732036
2021-02-12,1238087.268013134
2021-02-16,1240312.2729302787
2021-02-17,1245086.4080744882
2021-02-18,1240922.757806618
2021-02-19,1239344.701871712
2021-02-22,1238446.9061334918
2021-02-23,1239800.7583616
2021-02-24,1253507.277627592
2021-02-25,1233828.969651823
2021-02-26,1215287.610540037
2021-03-01,1239640.2040272441
2021-03-02,1233047.900826775
2021-03-03,1227768.4907010426
2021-03-04,1214448.8837369313
2021-03-05,1238392.356623659
2021-03-08,1248744.0225432941
2021-03-09,1251199.7286971638
2021-03-10,1267252.7475112507
2021-03-11,1273368.9749587604
2021-03-12,1282158.332498891
2021-03-15,1292103.403971059
2021-03-16,1288263.1757415363
2021-03-17,1294401.3686927387
2021-03-18,1286045.0376571247
2021-03-19,1278392.6838210651
2021-03-22,1285201.2491019794
2021-03-23,1274772.785662038
2021-03-24,1272111.5622072432
2021-03-25,1278826.9514894697
2021-03-26,1299203.777418832
2021-03-29,1303029.2845346269
2021-03-30,1296815.3387982901
2021-03-31,1293295.5920618342
2021-04-01,1298791.7345331477
2021-04-05,1314204.3399347807
2021-04-06,1311611.9876318763
2021-04-07,1313316.1303282569
2021-04-08,1313887.8154792844
2021-04-09,1325320.3926239072
2021-04-12,1321294.5491218625
2021-04-13,1318113.5431022702
2021-04-14,1318092.031387335
2021-04-15,1328342.229961401
2021-04-16,1335273.793041235
2021-04-19,1330428.1943022723
2021-04-20,1321043.8490492816
2021-04-21,1332910.3473889807
2021-04-22,1320827.7890508154
2021-04-23,1326637.0682485083
2021-04-26,1323959.625976322
2021-04-27,1323148.8734417714
2021-04-28,1317622.5968418873
2021-04-29,1326615.8186360158
2021-04-30,1319312.1619087604
2021-05-03,1328481.5167687442
2021-05-04,1326500.4346561139
2021-05-05,1330935.7579350995
2021-05-06,1343664.9147267865
2021-05-07,1353496.2982678937
2021-05-10,1352095.5037313031
2021-05-11,1334842.9289899396
2021-05-12,1310772.9752011823
2021-05-13,1326710.0237889814
2021-05-14,1340401.8041425275
2021-05-17,1338594.9583402204
2021-05-18,1328321.6185308027
2021-05-19,1322389.2511067914
2021-05-20,1330725.3588529157
2021-05-21,1333070.5329022931
2021-05-24,1341426.981190257
2021-05-25,1337706.033432536
2021-05-26,1339489.4234128522
2021-05-27,1343047.2947698163
2021-05-28,1345649.3584561872
2021-06-01,1345474.53857898
2021-06-02,1347692.629054836
2021-06-03,1346643.7485158956
2021-06-04,1354767.793811611
2021-06-07,1349940.4543378865
2021-06-08,1348608.9030149495
2021-06-09,1344127.0933759725
2021-06-10,1346206.1486528786
2021-06-11,1347495.9143664595
2021-06-14,1346315.4454813406
2021-06-15,1342854.7617617056
2021-06-16,1334109.002156298
2021-06-17,1326747.366980731
2021-06-18,1305665.1068832274
2021-06-21,1326899.9023048277
2021-06-22,1329484.1672775145
2021-06-23,1326096.8834002467
2021-06-24,1337563.718206438
2021-06-25,1352848.6333980884
2021-06-28,1347843.0501537647
2021-06-29,1347708.1242351856
2021-06-30,1355205.4459362354
2021-07-01,1362276.8767032947
2021-07-02,1368043.9038572588
2021-07-06,1360141.2735569202
2021-07-07,1364846.1948491395
2021-07-08,1356927.794044855
2021-07-09,1373243.4735289041
2021-07-12,1377737.2442239872
2021-07-13,1374089.082991615
2021-07-14,1376932.1727247387
2021-07-15,1377635.0814823352
2021-07-16,1365864.7322849475
2021-07-19,1340256.3350872241
2021-07-20,1358986.939827367
2021-07-21,1370284.5613979541
2021-07-22,1371032.9193462573
2021-07-23,1378191.0222553455
