,PPO,MVO,DJIA
2020-07-01,1000000.0,1001525.9552895775,1000000.0
2020-07-02,1000097.7386645317,1004120.9779849014,1000000.0
2020-07-06,1000915.3128960686,1022185.8127248519,1021449.3879930056
2020-07-07,998861.0082392195,1012400.624370635,1006030.6671361958
2020-07-08,999363.3131784324,1027187.8675952273,1012912.4064989315
2020-07-09,996261.3402671814,1022886.9999446424,998877.0005585778
2020-07-10,997067.6320047457,1024615.9142971991,1013223.2671944823
2020-07-13,1000028.8225309758,1017482.6795889467,1013631.2718573925
2020-07-14,1005887.4858676571,1038973.9296148622,1035267.130731494
2020-07-15,1005426.9383091739,1041181.7693815044,1044107.2317612201
2020-07-16,1005543.5398371092,1033542.3521180752,1038845.8993102778
2020-07-17,1005458.159312161,1036278.8314703162,1036405.6883864388
2020-07-20,1003376.9259539916,1050910.3679235869,1036755.4066689333
2020-07-21,1006529.3411470876,1043859.8374177399,1042953.1917864776
2020-07-22,1008366.2332621656,1050713.7526260323,1049380.2518457354
2020-07-23,1002472.9996228415,1025016.7581761564,1035644.0948610841
2020-07-24,997721.879284455,1022261.7923571169,1028556.4558237807
2020-07-27,996959.2491834685,1035008.2342044434,1033021.2077423742
2020-07-28,997332.1085918891,1026243.8125922963,1025035.9736254129
2020-07-29,1001683.226208844,1040073.9320831744,1031264.7992762773
2020-07-30,995951.3012899787,1041250.2731726218,1022482.9846269672
2020-07-31,992116.6304244087,1079884.562498189,1026939.9953856615
2020-08-03,996694.2691560142,1098703.3182349438,1036114.2564843597
2020-08-04,998653.5303333099,1103081.0868188185,1042490.7713231009
2020-08-05,1013521.363162381,1111507.1183375218,1056984.651253157
2020-08-06,1016023.7363116272,1134770.956784491,1064192.7336312416
2020-08-07,1018930.6005353859,1121626.3689916565,1065999.6114241306
2020-08-10,1028475.2856029785,1129331.8861114928,1079906.7569700798
2020-08-11,1019932.1545810669,1111113.7828803952,1075846.139134447
2020-08-12,1034918.2890163582,1137230.7789505715,1087110.9687682146
2020-08-13,1027603.5948606347,1145588.3647139473,1083998.4153390324
2020-08-14,1033798.9818293427,1143898.4000181765,1085331.2609286963
2020-08-17,1026123.085252179,1151317.8773720495,1081985.6378715758
2020-08-18,1018156.5106465461,1154121.9515756802,1079389.9207062367
