train/reward_max,train/value_loss,train/reward_min,train/reward,train/policy_loss,time/time_elapsed,train/explained_variance,train/reward_mean,train/entropy_loss,time/fps,time/iterations,time/total_timesteps,train/n_updates,train/learning_rate,train/std
2.9487455,11.557085037231445,-2.0897136,-0.28265262,-121.2707748413086,3,0.0,-0.021151228,-42.64476776123047,143,100,500,99,0.0007,1.0028090476989746
1.7517995,1.8647563457489014,-1.6708368,-0.8091137,-53.14472579956055,6,0.5826561450958252,0.32102853,-42.677024841308594,158,200,1000,199,0.0007,1.0035514831542969
9.305336,67.15785217285156,-5.901364,9.305336,-372.8348083496094,9,-0.01615619659423828,-0.40198225,-42.67637252807617,165,300,1500,299,0.0007,1.0038307905197144
5.2966986,14.0338773727417,-5.4615493,3.2812777,130.22866821289062,11,0.0,0.57718956,-42.750030517578125,168,400,2000,399,0.0007,1.0063412189483643
11.151706,273.14300537109375,-16.573072,-16.573072,649.1624755859375,14,5.960464477539063e-08,-5.7176433,-42.697715759277344,170,500,2500,499,0.0007,1.0046290159225464
3.734007,28.469356536865234,-0.75261647,-0.20317045,209.1080780029297,17,0.0009001493453979492,0.42770714,-42.67570495605469,171,600,3000,599,0.0007,1.0038220882415771
2.7550914,8.060165405273438,-3.8705728,-3.8705728,-114.1609115600586,20,0.0,-0.18209021,-42.716773986816406,173,700,3500,699,0.0007,1.0053105354309082
1.4325998,2.135207176208496,-1.4924836,-1.4924836,51.57619094848633,23,-1.1920928955078125e-07,-0.6294292,-42.68661117553711,173,800,4000,799,0.0007,1.0043472051620483
2.7944973,15.351236343383789,-1.7058585,0.57584435,136.14144897460938,25,0.013398706912994385,0.1876925,-42.669979095458984,173,900,4500,899,0.0007,1.0037779808044434
2.6503284,8.924989700317383,-7.4454346,-7.4454346,-103.76751708984375,28,0.0,-0.30607694,-42.686580657958984,173,1000,5000,999,0.0007,1.004425287246704
10.143522,296.7874450683594,-16.826315,10.143522,-702.5236206054688,31,-1.1920928955078125e-07,-0.7591199,-42.6575813293457,174,1100,5500,1099,0.0007,1.003551721572876
3.4957964,14.032476425170898,0.32143041,0.32143041,-136.38441467285156,34,0.0,1.1046,-42.751075744628906,175,1200,6000,1199,0.0007,1.0067726373672485
7.676413,7.527606010437012,-5.253094,-4.317358,-19.02010726928711,36,-0.03647112846374512,0.17542909,-42.801002502441406,176,1300,6500,1299,0.0007,1.008327841758728
3.5280168,4.562899589538574,-2.109615,3.5280168,-5.058260917663574,39,0.0,0.77325535,-42.81584167480469,176,1400,7000,1399,0.0007,1.0090396404266357
8.317459,18.043533325195312,-6.48846,2.8190644,166.3080291748047,42,0.0,0.26227936,-42.809200286865234,177,1500,7500,1499,0.0007,1.0086596012115479
8.62741,1.1293132305145264,-1.2650112,8.62741,-45.517478942871094,44,-1.1920928955078125e-07,1.6727204,-42.865135192871094,178,1600,8000,1599,0.0007,1.0104535818099976
7.881633,67.37632751464844,0.47331843,5.573478,-298.61968994140625,47,0.0,3.8116782,-42.927677154541016,178,1700,8500,1699,0.0007,1.0127850770950317
1.9117454,0.7002690434455872,-0.18676889,1.9117454,-27.0026912689209,50,-1.1920928955078125e-07,0.75179493,-42.929710388183594,178,1800,9000,1799,0.0007,1.012688159942627
1.0016775,1.2759721279144287,-2.3451605,-0.7053667,6.811610221862793,53,0.0,-0.36178026,-42.985233306884766,178,1900,9500,1899,0.0007,1.0146515369415283
3.4893043,3.62304949760437,-0.8278649,-0.8278649,4.984779357910156,55,-1.1920928955078125e-07,1.0145845,-42.99587631225586,179,2000,10000,1999,0.0007,1.0151238441467285
2.058098,11.982516288757324,-1.976894,2.058098,107.20914459228516,58,0.00015914440155029297,0.4534536,-43.019283294677734,179,2100,10500,2099,0.0007,1.0156071186065674
2.061721,9.658807754516602,-14.483019,-10.9665,43.85973358154297,61,0.0,-6.440456,-43.036705017089844,180,2200,11000,2199,0.0007,1.0165338516235352
21.057287,2013.832763671875,-29.556158,-4.293394,-1878.818603515625,63,-0.008140921592712402,0.928329,-43.00664520263672,180,2300,11500,2299,0.0007,1.0155540704727173
1.7095056,4.894421100616455,-0.47177052,0.55987644,34.09019088745117,66,0.0,0.7245019,-43.00419998168945,180,2400,12000,2399,0.0007,1.0152032375335693
3.777611,4.432618141174316,-0.48258775,0.011398922,-81.0575180053711,68,0.0,1.0320886,-43.005760192871094,181,2500,12500,2499,0.0007,1.0157018899917603
1.5278993,0.3279343247413635,-0.76761836,1.5278993,-7.9282331466674805,71,1.1920928955078125e-07,0.3188322,-42.96162796020508,181,2600,13000,2599,0.0007,1.0139286518096924
1.8867208,1.6972715854644775,-1.2383252,-0.55476815,-38.452232360839844,74,0.0,-0.27368954,-42.91630172729492,181,2700,13500,2699,0.0007,1.0128867626190186
1.5166845,96.6080322265625,-0.7107856,1.5166845,374.62188720703125,76,0.0,-0.012342548,-42.93780517578125,181,2800,14000,2799,0.0007,1.0134204626083374
2.346008,11.514485359191895,-2.215569,2.346008,-130.13729858398438,79,1.7881393432617188e-07,-0.24245614,-42.968631744384766,182,2900,14500,2899,0.0007,1.0147678852081299
1.5633471,2.5700318813323975,-0.5439177,0.87144303,50.079627990722656,82,0.0,0.34114945,-42.9534797668457,182,3000,15000,2999,0.0007,1.0140577554702759
1.1113119,0.9138668775558472,-0.4660662,-0.40313992,10.2448091506958,85,0.0,0.13624883,-42.923561096191406,182,3100,15500,3099,0.0007,1.0131043195724487
4.5433946,15.735769271850586,-1.966158,-1.966158,-75.36688232421875,87,0.0,0.7162502,-42.94011688232422,182,3200,16000,3199,0.0007,1.0136953592300415
0.31507027,1.7515249252319336,-1.9652784,0.31507027,43.62291717529297,90,0.0,-0.7374836,-42.94858932495117,182,3300,16500,3299,0.0007,1.0139479637145996
2.0386076,56.026451110839844,-1.5954154,-0.6211188,303.7594909667969,92,0.0,0.055214543,-42.999061584472656,182,3400,17000,3399,0.0007,1.015594482421875
2.6675122,26.677846908569336,-0.54314035,-0.46318716,175.0341796875,95,-2.872943878173828e-05,0.45196325,-43.150115966796875,183,3500,17500,3499,0.0007,1.020389199256897
4.2174363,8.541521072387695,-1.2052214,1.7657186,-105.30918884277344,98,0.0006481409072875977,1.0532665,-43.18846893310547,183,3600,18000,3599,0.0007,1.0218912363052368
1.281609,30.864028930664062,-0.3994421,1.281609,209.40890502929688,100,0.0,0.28892535,-43.178749084472656,183,3700,18500,3699,0.0007,1.0215718746185303
4.5923533,4.502387046813965,-4.6895304,0.6035502,71.1993179321289,103,0.0,0.87629795,-43.2139892578125,183,3800,19000,3799,0.0007,1.0226633548736572
4.108223,83.64576721191406,-3.5461683,4.108223,-368.88018798828125,106,0.0,0.74560606,-43.160377502441406,183,3900,19500,3899,0.0007,1.0211060047149658
5.6024275,34.733543395996094,-0.29166096,4.498887,-209.33090209960938,108,-0.012099623680114746,2.7529588,-43.10104751586914,183,4000,20000,3999,0.0007,1.0190118551254272
0.8189725,1.3371694087982178,-0.0035200038,0.08397931,-7.250526428222656,111,0.0,0.43978316,-43.10256576538086,183,4100,20500,4099,0.0007,1.019041895866394
5.200149,19.894800186157227,-1.3514044,-0.7654817,-184.92678833007812,114,-1.1920928955078125e-07,0.56466544,-43.114505767822266,183,4200,21000,4199,0.0007,1.019518256187439
5.065908,6.402103424072266,-1.5280842,5.065908,-106.46771240234375,117,0.0,0.87775165,-43.15200424194336,183,4300,21500,4299,0.0007,1.0207948684692383
3.300966,4.2691569328308105,-4.5189962,3.300966,38.159156799316406,119,0.0,-0.58226246,-43.14110565185547,183,4400,22000,4399,0.0007,1.0201818943023682
0.8410628,21.457836151123047,-2.8892503,0.8410628,183.5045928955078,122,0.0,-0.44813415,-43.17748260498047,183,4500,22500,4499,0.0007,1.021705985069275
3.041384,21.054195404052734,-2.0020156,3.041384,189.33071899414062,124,0.0,-0.003783226,-43.11684036254883,184,4600,23000,4599,0.0007,1.0196183919906616
3.7505744,9.683850288391113,-1.5099432,0.60478103,-107.44502258300781,127,0.0,0.95719814,-43.08663558959961,184,4700,23500,4699,0.0007,1.0183889865875244
1.9821327,1.0187441110610962,-0.18853077,-0.18853077,-15.777377128601074,130,0.0,0.73310834,-43.119354248046875,184,4800,24000,4799,0.0007,1.0197117328643799
1.7083602,12.641910552978516,-1.4040527,1.7083602,-134.35829162597656,133,0.0,0.80122566,-43.19264602661133,184,4900,24500,4899,0.0007,1.022085189819336
3.0352762,9.650408744812012,-4.5395412,-1.3993678,-71.62979888916016,135,1.1920928955078125e-07,-1.2420726,-43.23344039916992,184,5000,25000,4999,0.0007,1.0238609313964844
4.3242965,41.29600143432617,-0.6948795,1.4822215,253.872802734375,138,-0.0012766122817993164,1.5683938,-43.2722282409668,184,5100,25500,5099,0.0007,1.0251697301864624
8.685312,265.9783630371094,-0.29422784,8.685312,-691.701416015625,140,0.00222700834274292,4.8701987,-43.255149841308594,184,5200,26000,5199,0.0007,1.024269700050354
1.3252532,0.5356665253639221,-0.666131,0.51849335,12.33885383605957,143,-0.008419275283813477,0.18714885,-43.32241439819336,184,5300,26500,5299,0.0007,1.0267254114151
0.038986962,2.9580159187316895,-2.182399,0.038986962,-61.21283721923828,146,-0.0027431249618530273,-0.73165655,-43.32169723510742,184,5400,27000,5399,0.0007,1.0266153812408447
5.6575775,14.2808837890625,-4.234178,1.349504,109.94572448730469,149,-0.08422207832336426,1.7561278,-43.268638610839844,184,5500,27500,5499,0.0007,1.0253126621246338
0.17479262,7.744513034820557,-2.886995,0.17479262,-98.2701187133789,151,1.1920928955078125e-07,-1.1663606,-43.288330078125,184,5600,28000,5599,0.0007,1.0258089303970337
13.583018,120.1955337524414,-22.943447,-5.9634457,-419.25787353515625,154,0.0,-5.3044505,-43.229469299316406,184,5700,28500,5699,0.0007,1.023526906967163
